STUDY_ID,INCLUDE,X1,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,ROUND1INC,ROUND1REV,ROUND2INC,ROUND2REV,REVIEWERS,FT_REV,DOWNLOADED,REASON,NOTES
17998,MAYBE,Ruoff2010,Article,"We report the isolation of Corynebacterium macginleyi from the corneal ulcer culture of a patient, later enrolled in the Steroids for Corneal Ulcer Trial (SCUT). To our knowledge this is the first published report from North America of the recovery of C. macginleyi from a serious ocular infection. {\textcopyright} K.L. Ruoff et al., 2010.",K L Ruoff and C M Toutain-Kidd and M Srinivasan and P Lalitha and N R Acharya and M E Zegans and J D Schwartzman,2036-7449,Infectious Disease Reports,"Corynebacterium,Corynebacterium macginleyi,RNA 16S,RNA sequence,aged,anamnesis,anterior eye chamber,antibiotic resistance,antibiotic sensitivity,article,bacterial growth,bacterial strain,bacterium culture,bacterium identification,bacterium isolate,blepharitis,case report,ciprofloxacin,cornea stroma,cornea ulcer,culture medium,eye pain,eyelid disease,human,intraocular pressure,male,meibomianitis,minimum inhibitory concentration,moxifloxacin,nucleotide sequence,penicillin G,plaque forming cell,quinoline derived antiinfective agent,sequence homology,slit lamp,sulbenicillin,tobramycin,vancomycin,visual acuity,visual disorder",7--8,{Corynebacterium macginleyi isolated from a corneal ulcer},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L361419848 http://dx.doi.org/10.4081/idr.2010.e3 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=20367449{\&}id=doi:10.4081{\%}2Fidr.2010.e3{\&}atitle=Corynebacterium+macginleyi,2,2010,1,NA,NA,NA,NA,NA,MAYBE,Jake,NO,Mushtaq,Allison,Mushtaq,YES,,
16030,YES,Parkins2014,Article,"Transmissible strains of Pseudomonas aeruginosa have been described for cystic fibrosis (CF) and may be associated with a worse prognosis. Using a comprehensive strain biobank spanning 3 decades, we sought to determine the prevalence and stability of chronic P. aeruginosa infection in an adult population. P. aeruginosa isolates from sputum samples collected at initial enrollment in our adult clinic and at the most recent clinic visit were examined by a combination of pulsed-field gel electrophoresis and multilocus sequence typing and compared against a collection of established transmissible and local non-CF bronchiectasis (nCFB) isolates. A total of 372 isolates from 107 patients, spanning 674 patient-years, including 66 patients with matched isolates from initial and final encounters, were screened. A novel clone with increased antibacterial resistance, termed the prairie epidemic strain (PES), was found in 29{\%} (31/107 patients) of chronically infected patients referred from multiple prairie-based CF centers. This isolate was not found in those diagnosed with CF as adults or in a control population with nCFB. While 90{\%} (60/66 patients) of patients had stable infection over a mean of 10.8 years, five patients experienced strain displacement of unique isolates, with PES occurring within 2 years of transitioning to adult care. PES has been present in our cohort since at least 1987, is unique to CF, generally establishes chronic infection during childhood, and has been found in patients at the time of transition of patients from multiple prairie-based CF clinics, suggesting broad endemicity. Studies are under way to evaluate the clinical implications of PES infection. Copyright {\textcopyright} 2014, American Society for Microbiology. All Rights Reserved.",M D Parkins and B A Glezerson and C D Sibley and K A Sibley and J Duong and S Purighalla and C H Mody and M L Workentine and D G Storey and M G Surette and H R Rabin,"1098-660X
0095-1137",Journal of Clinical Microbiology,"Canada,Pseudomonas aeruginosa,Pseudomonas infection,adult,antibiotic resistance,article,bacterial strain,bacterium identification,bacterium isolate,bronchiectasis,ceftazidime,ciprofloxacin,clone,controlled study,cystic fibrosis,epidemic,human,incidence,major clinical study,multilocus sequence typing,nonhuman,priority journal,pulsed field gel electrophoresis,sputum analysis,tobramycin,transition to adult care",1127--1135,{Twenty-five-year outbreak of Pseudomonas aeruginosa infecting individuals with cystic fibrosis: Identification of the prairie epidemic strain},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L372725875 http://dx.doi.org/10.1128/JCM.03218-13 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=1098660X{\&}id=doi:10.1128{\%}2FJCM.03218-13{\&}atitle=Twenty-five-year+outbrea,52,2014,4,NA,NA,NA,NA,NA,MAYBE,Jake,YES,Erica,Erica,Mushtaq,YES,,
20649,MAYBE,Telang2011a,Article,"Acinetobacter baumannii is considered as an emerging nosocomial pathogen and is renowned for its multi-drug resistance. We report a case of community-acquired pan-resistant A. baumannii caused fulminating septicemia. The treatment failure led to death. The A. baumannii strain isolated from blood, pus, urine and tracheal aspirate was confirmed by 16S r-RNA sequence homology and found positive for metallo-beta-lactamase IMP-1, and was found to be a strong biofilm producer. The isolate was only susceptible (moderately) to colistin.",N V Telang and M G Satpute and P K Dhakephalkar and K B Niphadkar and S G Joshi,0377-4929,Indian J Pathol Microbiol,"*Drug Resistance, Multiple, Bacterial,Acinetobacter Infections/*diagnosis/microbiology,Acinetobacter baumannii/*drug effects/isolation {\&},Anti-Bacterial Agents/pharmacology,Blood/microbiology,Community-Acquired Infections/*diagnosis/microbiol,DNA, Bacterial/chemistry/genetics,DNA, Ribosomal/chemistry/genetics,Fatal Outcome,Female,Humans,Microbial Sensitivity Tests,Middle Aged,RNA, Ribosomal, 16S/genetics,Sepsis/*microbiology,Sequence Analysis, DNA,Suppuration/microbiology,Trachea/microbiology,Urine/microbiology,beta-Lactamases/*biosynthesis",180--182,{Fulminating septicemia due to persistent pan-resistant community-acquired metallo-beta-lactamase (IMP-1)-positive Acinetobacter baumannii},NA,54,2011,1,"0974-5130
Telang, Nilima V
Satpute, Meenakshi G
Dhakephalkar, Prashant K
Niphadkar, Krishna B
Joshi, Suresh G
Case Reports
Journal Article
India
Indian J Pathol Microbiol. 2011 Jan-Mar;54(1):180-2. doi: 10.4103/0377-4929.77397.",10.4103/0377-4929.77397,3/12/11,eng,21393912,MAYBE,Jake,MAYBE,Erica,Erica,Mushtaq,NO,COST $10,
4681,YES,Dashti2010,Article,"Patients infected with bacteria producing extendedspectrum beta-lactamases (ESBL) are at higher risk of mortality and morbidity. Several mutations in genes encoding SHV, tem and CTX-M beta-lactamases have been associated with ESBL activity. This paper describes a new SHV mutation in ESBL-producing strains of Klebsiella pneumoniae isolated in Kuwait. The study included 13 K. penumoniae strains isolated from patients admitted to the Amiri hospital of Kuwait. The production of ESBL in all strains was confirmed by Vitek system and E-test. All the ESBL genes were amplified by PCR and examined by DNA sequencing. All these ESBL-positive isolates were resistant to ceftazidime and cefotaxime. DNA sequencing revealed an A815G point mutation in the bla (SHV )gene causing an asparagine (AAT) to aspartic acid (GAT) mutation at position 253 of the enzyme. This new mutation was assigned the unique number SHV-112, and the Genebank accession number EU477409. This study reports a new mutation in the SHV gene in K. pneumoniae with ESBL capability. There could be other mutations still to be found in ESBL genes of K. pneumoniae in Kuwait and probably in other middle eastern countries, and researchers in the region should make use of molecular techniques to look for more novel mutations in ESBL-producing strains of K. pneumoniae.",A A Dashti and M M Jadaon and S G Amyes,1120-009x,J Chemother,"*Disease Outbreaks,Amino Acid Sequence,Anti-Bacterial Agents/metabolism/pharmacology,Base Sequence,Cefotaxime/metabolism/pharmacology,Ceftazidime/metabolism/pharmacology,Conjugation, Genetic,Cross Infection/epidemiology/*microbiology,DNA, Bacterial/genetics,Drug Resistance, Multiple, Bacterial/genetics,Electrophoresis, Gel, Pulsed-Field,Humans,Klebsiella Infections/epidemiology/*microbiology,Klebsiella pneumoniae/*enzymology/*genetics/isolat,Kuwait/epidemiology,Microbial Sensitivity Tests,Molecular Sequence Data,Mutation,Polymorphism, Single Nucleotide,Retrospective Studies,beta-Lactam Resistance/*genetics,beta-Lactamases/biosynthesis/chemistry/*genetics",335--338,{Retrospective study of an outbreak in a Kuwaiti hospital of multidrug-resistant Klebsiella pneumoniae possessing the new SHV-112 extended-spectrum beta-lactamase},NA,22,2010,5,"1973-9478
Dashti, A A
Jadaon, M M
Amyes, S G B
Journal Article
England
J Chemother. 2010 Oct;22(5):335-8.",10.1179/joc.2010.22.5.335,12/3/10,eng,21123157,YES,Cale,YES,Nchedo,Nchedo,Mushtaq,NO,SUBSCRIPTION NEEDED,TAYLOR AND FRANCIS ACCESS NECESSARY
18940,MAYBE,Shah2012e,Article,"Chryseobacterium indologenes is a rare cause of infection in select immunosuppressed hosts. Most prior reports are from Taiwan, in patients with diabetes mellitus or malignancies. Infections caused by C. indologenes are generally associated with indwelling devices, and the organism may be resistant to many commonly utilized broad-spectrum antibiotics. We report the first case, to our knowledge, of C. indologenes subcutaneous port-related bacteremia in a liver transplant recipient. The isolates were resistant to antibiotics previously reported as active, and device removal was required for treatment success. {\textcopyright} 2012 John Wiley {\&} Sons A/S.",S Shah and U Sarwar and E A King and A Lat,"1398-2273
1399-3062",Transplant Infectious Disease,",Adult,Anti-Bacterial Agents/pharmacology,Bacteremia/*microbiology,Catheterization,Central Venous/*adverse effects,Chryseobacterium indologenes,Chryseobacterium indologenes infection,Chryseobacterium/classification/drug effects/*isol,Fatal Outcome,Female,Flavobacteriaceae Infections/*microbiology,Humans,Liver Transplantation/*adverse effects,Microbial Sensitivity Tests,Taiwan,abdominal distension,abdominal pain,adult,amikacin,antibiotic sensitivity,antibiotic therapy,article,ascites,bacterial infection,bacterium culture,biliary cirrhosis,blood culture,case report,cefazolin,cefepime,cefoxitin,ceftazidime,ceftriaxone,ciprofloxacin,cystic fibrosis,disease course,female,flank pain,gentamicin,human,imipenem,immunosuppressive treatment,levofloxacin,liver fibrosis,liver graft,liver graft rejection,liver transplantation,meropenem,monotherapy,mycophenolate mofetil,nonalcoholic fatty liver,physical examination,piperacillin plus tazobactam,priority journal,recurrent disease,sulfamethoxazole,tobramycin,transjugular intrahepatic portosystemic shunt,trimethoprim",398--402,{Chryseobacterium indologenes subcutaneous port-related bacteremia in a liver transplant patient},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L51840091 http://dx.doi.org/10.1111/j.1399-3062.2011.00711.x http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=13982273{\&}id=doi:10.1111{\%}2Fj.1399-3062.2011.00711.x{\&}atitle=C,14,2012,4,"From Duplicate 1 (Chryseobacterium indologenes subcutaneous port-related bacteremia in a liver transplant patient - Shah, S; Sarwar, U; King, E A; Lat, A)

1399-3062
Shah, S
Sarwar, U
King, E A
Lat, A
Case Reports
Journal Article
Denmark
Transpl Infect Dis. 2012 Aug;14(4):398-402. doi: 10.1111/j.1399-3062.2011.00711.x. Epub 2012 Jan 29.",10.1111/j.1399-3062.2011.00711.x,1/31/12,eng,22283924,YES,Jake,NO,Erica,Zach,Mushtaq,YES,,
1359,YES,Bakour2014,Article,"PURPOSE: The aim of this study was to investigate the molecular support of resistance to carbapenems, aminoglycosides, and fluoroquinolones in Acinetobacter baumannii clinical isolates collected from Yemen hospital. METHODS: Three A. baumannii were isolated in February 2013 from three patients hospitalized at Al-Thawra University Hospital in Sana'a, Yemen. Antibiotic susceptibility testing was performed using the disk diffusion and E-test methods. Carbapenemase production was carried out by the modified Hodge test (MHT) and imipenem-ethylenediaminetetraacetic acid (EDTA) methods. Carbapenem, aminoglycoside, and fluoroquinolone resistance determinants were studied by polymerase chain reaction and sequencing. The epidemiological relatedness of the three strains was studied using multilocus sequence typing (MLST). RESULTS: The isolates were resistant to almost all antibiotics tested with very high imipenem, amikacin, and ciprofloxacin minimum inhibitory concentrations ({\textgreater}32, {\textgreater}256, and {\textgreater}32 mg/L, respectively). The microbiological tests showed that the three A. baumannii were MHT positive, besides, the activity of beta-lactamases was not inhibited by EDTA. All the three isolates contained the naturally occurring bla(OXA-51)-like gene and the bla(OXA-23)-like carbapenemase-encoding gene. The 16S rRNA methylase armA gene was detected in the three isolates. In addition, screening for genes encoding the aminoglycoside-modifying enzymes (AMEs) demonstrated that one isolate contained the acetyltransferase gene aac(6')-Ib. Fluoroquinolone resistance was associated with a single mutation Ser83Leu in the quinolone resistance determining region of the gyrA gene in all isolates. The MLST showed that the sequence type (ST) obtained corresponds to ST2 for the three strains. CONCLUSIONS: Here we report the first identification of multidrug-resistant A. baumannii isolates harboring the bla(OXA-23)-like gene, AMEs [aac(6')-Ib], and the 16S rRNA methylase (armA) in the Yemen hospital.",S Bakour and S A Alsharapy and A Touati and J M Rolain,"1931-8448
1076-6294",Microbial Drug Resistance,",16S/*genetics,Acinetobacter Infections/drug therapy/microbiology,Acinetobacter baumannii,Acinetobacter baumannii/drug effects/*genetics,Acinetobacter infection,Aminoglycosides/genetics,Anti-Bacterial Agents/pharmacology,Bacterial Proteins/*genetics,Bacterial/*genetics,Bacterial/drug effects/,Drug Resistance,Genes,Humans,Microbial Sensitivity Tests/methods,Multiple,RNA,RNA 16S,Ribosomal,Yemen,amikacin,aminoglycoside,aminoglycoside antibiotic agent,aminoglycoside modifying enzyme,antibiotic resistance,antibiotic sensitivity,arma gene,article,bacterial enzyme,bacterial gene,bacterial strain,bacterium isolate,beta lactam antibiotic,beta-Lactamases/*genetics,blaoxa 23 gene,blaoxa 51 gene,carbapenem,carbapenemase,case report,ciprofloxacin,gene mutation,human,imipenem,methyltransferase,minimum inhibitory concentration,nonhuman,quinoline derived antiinfective agent,tRNA Methyltransferases/*genetics,unclassified drug",604--609,{Characterization of Acinetobacter baumannii clinical isolates carrying bla(OXA-23) carbapenemase and 16S rRNA methylase armA genes in Yemen},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L600721226 http://dx.doi.org/10.1089/mdr.2014.0018 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=19318448{\&}id=doi:10.1089{\%}2Fmdr.2014.0018{\&}atitle=Characterization+of+ac,20,2014,6,"From Duplicate 2 (Characterization of Acinetobacter baumannii clinical isolates carrying bla(OXA-23) carbapenemase and 16S rRNA methylase armA genes in Yemen - Bakour, S; Alsharapy, S A; Touati, A; Rolain, J M)

1931-8448
Bakour, Sofiane
Alsharapy, Samer Ahmed
Touati, Abdelaziz
Rolain, Jean-Marc
Journal Article
Research Support, Non-U.S. Gov't
United States
Microb Drug Resist. 2014 Dec;20(6):604-9. doi: 10.1089/mdr.2014.0018.",10.1089/mdr.2014.0018,6/6/14,eng,24901296,MAYBE,Cale,YES,Erica,Erica,Mushtaq,YES,,
10246,YES,Katragkou2013,Article,"Extensively drug-resistant (XDR) tuberculosis (TB) represents a serious and growing problem in both endemic and non-endemic countries. We describe a 2.5- year-old girl with XDR-pulmonary TB and an 18-monthold boy with pre-XDR-central nervous system TB. Patients received individualized treatment with second-line anti-TB agents based on genotypic and phenotypic drug susceptibility testing results. Both children achieved culture conversion 3 months and 1 month after treatment initiation, respectively. The child with XDR-pulmonary TB showed evidence of cure while treatment adverse events were managed without treatment interruption. The child with pre-XDR-central nervous system TB after 6-month hospitalization with multiple infectious complications had a dismal end due to hepatic insufficiency possibly related to anti-TB treatment. This is the first report of children with pre-XDR and XDR TB in Greece, emphasizing the public health dimensions and management complexity of XDR TB. {\textcopyright} Springer-Verlag 2012.",A Katragkou and C Antachopoulos and E Hatziagorou and M Sdougka and E Roilides and J Tsanakas,"0340-6199
1432-1076",European Journal of Pediatrics,",Acinetobacter baumannii,Antitubercular Agents/*therapeutic use,Central Nervous System/*drug therapy,Child,Extensively Drug-Resistant Tuberculosis/*diagnosis,Fatal Outcome,Female,Greece,Humans,Infant,KatG protein,Male,Mycobacterium tuberculosis,Preschool,Pulmonary/*drug therapy/immunology,RNA polymerase beta subunit,Stenotrophomonas maltophilia,Sylvian fissure,Tuberculosis,alanine aminotransferase,alanine aminotransferase blood level,amikacin,aminosalicylic acid,antibiotic sensitivity,article,aspartate aminotransferase,aspartate aminotransferase blood level,bilirubin,bilirubin blood level,brain ventricle dilatation,brain ventriculitis,capreomycin,case report,cerebrospinal fluid drainage,cerebrospinal fluid flow,child,computer assisted tomography,cycloserine,dexamethasone,disease predisposition,drug dose reduction,drug efficacy,drug induced disease,drug resistant tuberculosis,drug substitution,drug withdrawal,ethambutol,female,gamma glutamyl transferase blood level,gamma glutamyltransferase,gastric suction,gastrointestinal symptom,gene mutation,hormone substitution,hospitalization,human,hypothyroidism,intensive care unit,isoniazid,lateral brain ventricle,levofloxacin,linezolid,lung lavage,lung tuberculosis,lymphadenopathy,male,neutropenia,nuclear magnetic resonance imaging,ofloxacin,preschool child,primary medical care,priority journal,protein cerebrospinal fluid level,pyrazinamide,pyridoxine,rifabutin,rifampicin,streptomycin,thyrotropin,thyrotropin blood level,treatment duration,tuberculosis",563--567,{Drug-resistant tuberculosis in two children in Greece: Report of the first extensively drug-resistant case},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L52170675 http://dx.doi.org/10.1007/s00431-012-1811-8 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=03406199{\&}id=doi:10.1007{\%}2Fs00431-012-1811-8{\&}atitle=Drug-resistant+,172,2013,4,"From Duplicate 1 (Drug-resistant tuberculosis in two children in Greece: report of the first extensively drug-resistant case - Katragkou, A; Antachopoulos, C; Hatziagorou, E; Sdougka, M; Roilides, E; Tsanakas, J)

1432-1076
Katragkou, Aspasia
Antachopoulos, Charalampos
Hatziagorou, Elpis
Sdougka, Maria
Roilides, Emmanuel
Tsanakas, John
Case Reports
Journal Article
Germany
Eur J Pediatr. 2013 Apr;172(4):563-7. doi: 10.1007/s00431-012-1811-8. Epub 2012 Aug 21.",10.1007/s00431-012-1811-8,8/22/12,eng,22907397,YES,Melanie,YES,Brooke,Brooke,Mushtaq,YES,,
17824,MAYBE,Romaozinho2011,Article,"Aims: To determine the prevalence and mechanisms of primary and secondary resistance of Helicobacter pylori (Hp) to antimicrobial agents in a South-European country. Patients and Methods: Prospective study involving anemic/dyspeptic adult patients with positive 13C Urea Breath Test (UBT), which were divided in two groups: A-no previous Hp treatment (primary resistance); B-previous, failed, Hp treatment (secondary resistance). All patients were submitted to upper digestive endoscopy with biopsies for isolation of Hp. Genotyping and antibiotic susceptibility were determined. Patients received standard treatment protocol (Group APantoprazol + Amoxicillin + Clarithromycin, 14 days; Group B-Pantoprazol + Amoxicillin + Levofloxacin, 10 days). Hp eradication was assessed with UBT after 8-12 weeks. Statistical analysis was performed with SPSS v17.0. Results: Ninety eight patients (Male/Female-28/70; mean age-42 ± 14 years; Groups A/B-59/39) completed the protocol. Eradication was successful in 62.2{\%} (Group A-71.2{\%}; Group B-48.7{\%}; p = .025). Significant differences (p {\textless} .05) between both groups (Group A-Group B) for: tobacco use (11.9{\%}-28.2{\%}), alcohol use (22{\%}-41{\%}), 23S rRNA gene mutation A2143G (15.3{\%}-79.5{\%}) and genotype VacA s1b (39{\%}-17.9{\%}). All Hp isolates were susceptible to tetracycline and amoxicillin but 49{\%} were resistant to clarithromycin (22{\%}-89.7{\%}; p {\textless} .0001), 42.9{\%} to metronidazole (30.5{\%}-61.5{\%}; p = .002) and 29.6{\%} to levofloxacin (25.4{\%}-35.9{\%}; ns). Conclusions: High prevalence of primary and secondary resistance of Hp to clarithromycin, metronidazole and levofloxacin were observed in our country. Rates of eradication for empirical treatments were lower than the usually accepted. Suggestion that 23S rRNA gene mutation A2143G, tobacco and alcohol use are associated with failure of empiric initial treatments; on the contrary genotype VacA s1b can determine a more favorable outcome.",J Romãozinho and N Almeida and M M Donato and C Luxo and O Cardoso and M A Cipriano and C Marinho and R Figueiredo and C Sofia,1083-4389,Helicobacter,"Helicobacter,Helicobacter pylori,RNA 23S,RNA gene,adult,alcohol consumption,amoxicillin,antibiotic sensitivity,antiinfective agent,bacterium,biopsy,clarithromycin,endoscopy,gene mutation,genotype,human,inflammation,levofloxacin,metronidazole,patient,prevalence,prospective study,statistical analysis,stomach cancer,tetracycline,tobacco,urea breath test,urea c 13,workshop",119,{Helicobacter pylori in a South-European country - Primary and secondary resistances to antimicrobials (First results)},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L70590191 http://dx.doi.org/10.1111/j.1523-5378.2011.00886.x http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=10834389{\&}id=doi:10.1111{\%}2Fj.1523-5378.2011.00886.x{\&}atitle=H,16,2011,NA,NA,NA,NA,NA,NA,YES,Melanie,NO,Erica,Allison,Mushtaq,YES,,
22698,YES,Woodward2007,Article,"A 52-year-old woman with a history of liver transplantation developed bilateral corneal infiltrates 1 week after uneventful photorefractive keratectomy (PRK). Cultures grew methicillin-resistant Staphylococcus aureus (MRSA), resistant to fluoroquinolone antibiotics. The infections responded to topical vancomycin and resolved bilaterally over 3 weeks. Three months postoperatively, the uncorrected visual acuity (UCVA) was 20/20 in the right eye and 20/25 in the left eye; the best spectacle-corrected visual acuity (BSCVA) was 20/20 in both eyes. During the course of treatment, the patient reported chronic intermittent prophylactic use of oral ciprofloxacin. While fluoroquinolones typically provide excellent postoperative coverage, Staphylococcus organisms have a growing antibiotic resistance to fluoroquinolones, and MRSA may become a more prevalent organism in corneal infections. Chronic subtherapeutic fluoroquinolone use can increase the mutational resistance of Staphylococcus to fluoroquinolone and methicillin. The patient's frequent hospital visits placed her at high risk for MRSA colonization. This case represents the fifth reported case of MRSA keratitis after PRK. {\textcopyright} 2007 ASCRS and ESCRS.",M Woodward and J B Randleman,0886-3350,Journal of Cataract and Refractive Surgery,"acular,adult,antibiotic prophylaxis,antibiotic resistance,article,bacterial colonization,bacterial growth,bacterium culture,case report,chronic drug administration,ciprofloxacin,female,gatifloxacin,human,infection risk,keratitis,ketorolac trometamol,liver transplantation,methicillin resistant Staphylococcus aureus,meticillin,nonhuman,photorefractive keratectomy,postoperative complication,postoperative period,pred forte,prednisolone acetate,priority journal,quinoline derived antiinfective agent,treatment response,vancomycin,visual acuity,zymar",316--319,{Bilateral methicillin-resistant Staphylococcus aureus keratitis after photorefractive keratectomy},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L46177501 http://dx.doi.org/10.1016/j.jcrs.2006.08.060 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=08863350{\&}id=doi:10.1016{\%}2Fj.jcrs.2006.08.060{\&}atitle=Bilateral+met,33,2007,2,NA,NA,NA,NA,NA,NO,Brooke,MAYBE,Cale,Ayomide,Mushtaq,YES,,
16836,MAYBE,Pourabbas2016,Article,"Acinetobacter baumannii is an important opportunistic bacterial pathogen responsible for serious infections in hospitalized patients. From a total of 78 consecutive non-repetitive Acinetobacter spp. isolates from patients with blood infections, 61 were carbapenem resistant, which were positive for blaOXA-51-like (96.7{\%}), blaOXA-23-like (77{\%}), blaOXA-58-like (8.1{\%}) and blaOXA-40-like genes (32.8{\%}) by multiplex PCR. The isolates were identified as A. baumannii (n559) and Acinetobacter nosocomialis (n52). Also, we found a case of Acinetobacter junii, causing bacteraemia, that possessed the IMP gene. High levels of resistance were observed to fluoroquinolones, aminoglycosides, tigecycline and to the beta-lactam antibiotics, including piperacillin/tazobactam and ampicillin/sulbactam. ISAba1 was present in 96.7{\%} of all Acinetobacter calcoaceticus–baumannii complex (Acb) isolates. Also, 33 (54.1{\%}) and 23 (37.7{\%}) isolates harboured ISAba1 upstream of blaOXA-23-like and blaOXA-51-like genes, respectively, though this was not observed in A. nosocomialis isolates. No relationship was observed between the presence of ISAba1 upstream of oxacillinase genes and the level of carbapenem resistance in all Acb isolates. Only two genes encoding metallo-beta-lactamase (VIM, SPM) were detected in all Acb isolates. This suggests that carbapenem resistance in blood-isolate Acb is mostly due to the presence of acquired carbapenemases. This is the first report from Iran on the identification of A. nosocomialis isolates that possess multiple oxacillinase genes and lack upstream ISAba1.",B Pourabbas and R Firouzi and G Pouladfar,0022-2615,Journal of Medical Microbiology,",*Drug Resistance,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii/classification/*drug effec,Acinetobacter calcoaceticus-baumannii complex,Acinetobacter infection,Acinetobacter junii,Acinetobacter nosocomialis,Anti-Bacterial Agents/*pharmacology,Bacteremia/epidemiology/*microbiology,Bacterial,Bacterial Proteins/genetics/metabolism,Bacterial/genetics,Bacterial/physiology,Carbapenems/*pharmacology,Cross Infection/epidemiology/*microbiology,DNA,Enzymologic/physiology,Gene Expression Regulation,Genetic Variation,Genotype,Humans,Iran,Iran/epidemiology,Multiple,amikacin,aminoglycoside,antibiotic resistance,article,bacteremia,bacterial protein,bacterium isolate,beta-Lactamases/genetics/metabolism,blaoxa 23 like protein,blaoxa 51 like protein,blaoxa 58 like protein,bloodstream infection,carbapenem resistant Acinetobacter calcoaceticus b,cefepime,ceftazidime,ciprofloxacin,colistin,cotrimoxazole,genomic DNA,gentamicin,hospital infection,human,imipenem,imp protein,isaba1 protein,levofloxacin,meropenem,metallo beta lactamase,minimum inhibitory concentration,multiplex polymerase chain reaction,nonhuman,piperacillin plus tazobactam,priority journal,quinolone derivative,rifampicin,sequence analysis,species distribution,sultamicillin,tigecycline,unclassified drug",235--239,{Characterization of carbapenem-resistant Acinetobacter calcoaceticus-baumannii complex isolates from nosocomial bloodstream infections in southern Iran},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L609082386 http://dx.doi.org/10.1099/jmm.0.000219 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=00222615{\&}id=doi:10.1099{\%}2Fjmm.0.000219{\&}atitle=Characterization+of+carb,65,2016,3,"From Duplicate 1 (Characterization of carbapenem-resistant Acinetobacter calcoaceticus-baumannii complex isolates from nosocomial bloodstream infections in southern Iran - Pourabbas, B; Firouzi, R; Pouladfar, G)

1473-5644
Pourabbas, Bahman
Firouzi, Roya
Pouladfar, Gholamreza
Journal Article
Research Support, Non-U.S. Gov't
England
J Med Microbiol. 2016 Mar;65(3):235-9. doi: 10.1099/jmm.0.000219. Epub 2016 Jan 8.",10.1099/jmm.0.000219,1/10/16,eng,26747061,YES,Melanie,NO,Ayomide,Mushtaq,Mushtaq,YES,,
