STUDY_ID,INCLUDE,X1,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,ROUND1INC,ROUND1REV,ROUND2INC,ROUND2REV,REVIEWERS,FT_REV,DOWNLOADED,REASON,NOTES
202,YES,Aggoune2014,Article,"A carbapenem resistant Klebsiella pneumoniae strain was isolated in October 2011 in the pediatric unit of the H{\^{o}}pital central de l'arm{\'{e}}e in Algeria, this strain have been confirmed for the production of OXA-48 carbapenemase. The blaOXA-48 gene was located on a self conjugative plasmid of 70 kb. Multilocus sequence typing indicated the presence of the sequence type ST-307. This is the first isolation of OXA-48-producing K. pneumoniae in Algeria.",N Aggoune and H Tali-Maamar and F Assaous and N Benamrouche and M Naim and K Rahal,"2213-7173
2213-7165",Journal of Global Antimicrobial Resistance,"Algeria,Klebsiella pneumoniae,aminoglycoside,amoxicillin,antibiotic resistance,antibiotic sensitivity,article,aztreonam,bacterial gene,bacterium isolation,beta lactamase,carbapenemase,case report,cefotaxime,ceftazidime,child,chloramphenicol,colistin,cotrimoxazole,drug conjugation,drug determination,ertapenem,human,imipenem,male,meropenem,multilocus sequence typing,nalidixic acid,oxa 48,pediatric ward,plasmid,quinolone derivative,rifampicin,tetracycline,tigecycline,unclassified drug",327--329,{Emergence of plasmid mediated carbapenemase OXA-48 in a Klebsiella pneumoniae strain in Algeria},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L53222986 http://dx.doi.org/10.1016/j.jgar.2014.06.001 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=22137173{\&}id=doi:10.1016{\%}2Fj.jgar.2014.06.001{\&}atitle=Emergence+of+,2,2014,4,NA,NA,NA,NA,NA,YES,Brooke,NO,Mushtaq,Ayomide,Zach,yes,,
451,MAYBE,Albert-Braun2006,Article,"Resistance to carbapenems is rare in Enterobacteriaceae. Worldwide, 99.9{\%} of Enterobacteriaceae remain susceptible to imipenem and meropenem. Carbapenem resistance in Enterobacteriaceae is mainly due to diverse carbapenem-hydrolyzing beta-lactamases as well as due to the combination of the high-level production of an AmpC-beta-lactamase and loss of outer membrane porins. Here we report the isolation of a carbapenem-resistant Klebsiella pneumoniae and Enterobacter cloacae strain in two patients in a German hospital. To our knowledge, this is the first verified report of clinical isolates with such a resistance phenotype from Germany.",S Albert-Braun and T A Wichelhaus,0940-6735,Chemotherapie Journal,"Enterobacter cloacae,Enterobacteriaceae,Enterobacteriaceae infection,Germany,Klebsiella pneumoniae,amikacin,ampicillin,antibiotic resistance,antibiotic sensitivity,article,aztreonam,bacterium detection,bacterium isolation,beta lactam antibiotic,beta lactamase AmpC,carbapenem,cefazolin,cefepime,cefoxitin,ceftazidime,cefuroxime,ciprofloxacin,colistin,cotrimoxazole,doxycycline,fosfomycin,gentamicin,human,imipenem,in vitro study,meropenem,mezlocillin,piperacillin,piperacillin plus tazobactam,sultamicillin",13--16,{Case reports: Detection of two carbapenem-resistant Enterobacteriaceae isolates in a German hospital},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L43265689 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=09406735{\&}id=doi:{\&}atitle=Case+reports{\%}3A+Detection+of+two+carbapenem-resistant+Enterobacteriaceae+isolates+in+a,15,2006,1,NA,NA,NA,NA,NA,MAYBE,Cale,NO,Mushtaq,Ayomide,Zach,no,could not find full-text,
491,MAYBE,Alenton2013,Article,"Introduction: Carbapenem-resistant Enterobacteriaceae (CRE) are an emerging global threat. Most outbreaks have been NDM-1 or KPC. We describe an outbreak of OXA-181-producing Klebsiella pneumoniae in a 275 bedded acute general hospital in Singapore. Methods: A patient who was managed in a 24 bedded, Male, Geriatric, Transition {\&} Rehabilitation unit had a blood culture positive for Klebsiella pneumoniae resistant to Imipenem and Meropenem (MIC 6.000mg/L and 24.000mg/L ) on 24 January 2013. Contact tracing with rectal swabs was done for all patients in the same cubicle and then ward. The ward and adjacent gym were closed, CRE patients were isolated in single rooms, patient areas and bathroom facilities were cleaned and disinfected. Hand hygiene and isolation education were reinforced to all healthcare staff. All patients were swabbed during outpatient follow up and during readmission. The unit was reopened after 12 days when no new cases of CRE were identified from remaining patient contacts. All positive CRE isolates were sent to a reference laboratory for further typing. Results: Two of five (40{\%}) patients who had stayed in the same 6- bedded cubicle as the index case were found to have CRE. Three of 9 (33{\%}) of the rest of the ward patients were CRE positive. A further two contacts had CRE detected in urine specimens 4 days and a week later. Overall, the attack rate for patients in the same cubicle was 3/6 (50{\%}) and ward was 3/9 (33{\%}). A screen of the adjacent ward did not identify any CRE patients among 18 screened. All isolates were identical by Pulsed Field Gel Electrophoresis bearing blaOXA-181. Conclusion: This strain of OXA-181-producing Klebsiella pneumonia has clear outbreak potential. Prompt action with strong multidisciplinary support and the ability to close the affected ward enabled us to contain this outbreak. Clinicians worldwide need to be alert to the threat of this emerging nosocomial pathogen.",L Alenton and M Y Hsann and P Tambyah and R Lin and K S Ng and S Rethanam and L Poh and S L Soong and S K Pada,2047-2994,Antimicrobial Resistance and Infection Control,"Klebsiella pneumoniae,Singapore,bath,blood culture,carbapenem resistant Enterobacteriaceae,carbapenemase,contact examination,education,follow up,general hospital,hand washing,health care,hospital readmission,human,imipenem,infection control,laboratory,male,meropenem,outpatient,pathogenesis,patient,prevention,pulsed field gel electrophoresis,rehabilitation,urine,ward",NA,{OXA-181-carbapenemase producing Klebsiella pneumoniae: An emerging threat? The first reported nosocomial outbreak in Singapore},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L72036194 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=20472994{\&}id=doi:{\&}atitle=OXA-181-carbapenemase+producing+Klebsiella+pneumoniae{\%}3A+An+emerging+threat{\%}3F+The+fir,2,2013,NA,NA,NA,NA,NA,NA,YES,Brooke,MAYBE,Mushtaq,Mushtaq,Zach,yes,,
512,MAYBE,Alghoribi2015,Article,"OBJECTIVES: We investigated the molecular epidemiology of uropathogenic Escherichia coli (UPEC) from a tertiary care hospital in Riyadh, Saudi Arabia, revealing, for the first time, the population structure of UPEC in the region. METHODS: A total of 202 UPEC isolates were recovered from hospital and community patients with urinary tract infection in December 2012 and January 2013. Strains were characterized by MLST, antibiotic susceptibility determination and virulence gene detection. RESULTS: The most common lineages were ST131 (17.3{\%}), ST73 (11.4{\%}), ST38 (7.4{\%}), ST69 (7.4{\%}), ST10 (6.4{\%}), ST127 (5.9{\%}), ST95 (5.4{\%}), ST12 (3.5{\%}), ST998 (3.5{\%}) and ST405 (3{\%}). ST131 and ST405 isolates were significantly associated with high levels of antibiotic resistance (60{\%} of ST131 carried CTX-M-14 or CTX-M-15 and 66.7{\%} of ST405 isolates carried CTX-M-15). ST131, CTX-M-15-positive isolates were predominantly of the fimH30/clade C group, resistant to fluoroquinolones; members of this sub-group were more likely to carry a high number of genes encoding selected virulence determinants. The relatively high proportion of ST38 was notable and four of these isolates harboured aggR. CONCLUSIONS: Our findings highlight the presence of MDR, CTX-M-positive ST38, ST131 and ST405 UPEC in Saudi Arabia. The high proportion of isolates with CTX-M is a particular concern. We suggest that ST38 UPEC warrant further study.",M F Alghoribi and T M Gibreel and G Farnham and S M {Al Johani} and H H Balkhy and M Upton,0305-7453,J Antimicrob Chemother,"Anti-Bacterial Agents/pharmacology,Escherichia coli Infections/*epidemiology/*microbi,Humans,Microbial Sensitivity Tests,Multilocus Sequence Typing,Prevalence,Saudi Arabia/epidemiology,Urinary Tract Infections/epidemiology/microbiology,Uropathogenic Escherichia coli/*classification/*dr,Virulence/genetics",2757--2762,"{Antibiotic-resistant ST38, ST131 and ST405 strains are the leading uropathogenic Escherichia coli clones in Riyadh, Saudi Arabia}",NA,70,2015,10,"1460-2091
Alghoribi, Majed F
Gibreel, Tarek M
Farnham, Garry
Al Johani, Sameera M
Balkhy, Hanan H
Upton, Mathew
Journal Article
Research Support, Non-U.S. Gov't
England
J Antimicrob Chemother. 2015 Oct;70(10):2757-62. doi: 10.1093/jac/dkv188. Epub 2015 Jul 16.",10.1093/jac/dkv188,7/18/2015,eng,26183183,YES,Allison,MAYBE,Mushtaq,Mushtaq,Zach,yes,,
574,YES,Almagro2011,Article,"Objective: We describe, to the best of our knowledgement, the first case of CTX-M-15-producing Aeromonas hydrophila. Methods: A 37-year-old woman was hospitalised in May of 2009 for an open fracture grade III of the right tibial pilon. External fixator were placed and Pseudomonas aeruginosa and Staphylococcus aureus resistant to methicillin (SARM) were isolated from the wound. The patient got better and two months later, the patient was discharged with a treatment consisting on levofloxacin+rifampin due to a new isolation of SARM in the wound. In March of 2010, the patient returned to the hospital with an acute clinical pictures of suppuration through an ankle fistula. A surgery resection of the distal end of the tibia, affected by osteomyelitis, was done. The wound and surgical bone tissue specimens were processed. Results: Gram-negative bacillus was isolated from both, wound exudates and bone samples. The isolate was identified as A. hydrophila by both phenotypic and genotyopic methods. The isolate showed resistance to ampicillin, cefazolin, cefotaxime, cefepime, gentamicin, tobramycin and ciprofloxacin; decreased susceptibility to amoxicillin/clavulanic acid, ceftazidime and aztreonam; and susceptibility to cotrimoxazole, amikacin, piperacillin/tazobactam and carbapenems. Clavulanic acid recovered the activity of cefotaxime and ceftazidime. The patient was successfully treated with meropenem+amikacin. Standard PCR conditions were used to amplify the genes blaTEM, blaSHV, blaCTX-M and blaOXA; sequence analysis of PCR products obtained identified TEM-1 and CTX-M-15 ESBL, no PCR products were obtained using the remaining primers. This isolate had also the aac(6′)-Ib-cr and the aac(3)-IIa aminoglycoside resistance genes. Conclusions: 1. We present the first known case of osteomyelitis associated to a CTXM- 15-producing A. hydrophila isolate carrying also the blaTEM-1 gene, as well as genes conferring resistance to aminoglycosides, aac(3)-IIa, and to aminoglycosides and ciprofloxacin, aac(6′)-Ib-cr. 2. This report confirms the high dissemination capacity of the plasmids carrying CTX-M-15, and other antibiotic resistance determinants, not only between Escherichia coli or Klebsiella pneumoniae, as demonstrated, but also between other Gram-negative species as A. hydrophila.",M Almagro and D Saez and S Fernandez-Romero and F Merino and J Oteo and J Campos and J L Gomez-Garces,1198-743X,Clinical Microbiology and Infection,"Aeromonas hydrophila,Escherichia coli,Europe,Gram negative bacterium,Klebsiella pneumoniae,Pseudomonas aeruginosa,Staphylococcus aureus,acid,amikacin,aminoglycoside,ampicillin,ankle,antibiotic resistance,aztreonam,bone,bone tissue,carbapenem derivative,cefazolin,cefepime,cefotaxime,ceftazidime,ciprofloxacin,clavulanic acid,cotrimoxazole,extended spectrum beta lactamase,external fixator,female,fistula,gene,gentamicin,hospital,human,levofloxacin,meropenem,meticillin,open fracture,osteomyelitis,patient,plasmid,rifampicin,sequence analysis,species,suppuration,surgery,tibia,tobramycin,wound,wound fluid",S681,{Osteomyelitis associated to CTX-M-15-producing Aeromonas hydrophila: First description in Europe},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L70600949 http://dx.doi.org/10.1111/j.1469-0691.2011.03559.x http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=1198743X{\&}id=doi:10.1111{\%}2Fj.1469-0691.2011.03559.x{\&}atitle=O,17,2011,NA,NA,NA,NA,NA,NA,MAYBE,Brooke,YES,Zach,Zach,Zach,yes,,
610,YES,Alp2013,Article,"The aim of this study was to identify the resistance genes and genetic relationship of carbapenemase-resistant Klebsiella pneumoniae (CRKP) identified in a tertiary university hospital in Turkey. During the study, CRKP was isolated from 137 patients. Resistance genes were studied in 94 isolates. Among these isolates, most of the CRKP produced only oxacillinase (OXA)-48 (91.5{\%}); however, 4.3{\%} of the isolates produced only New Delhi metallo-beta-lactamase 1 (NDM-1), 1{\%} produced both OXA-48 and NDM-1, and 3.2{\%} produced imipenem. This study adds Turkey to the growing list of countries with NDM-1-producing bacteria and shows that NDM-1 may easily spread worldwide.",E Alp and D Percin and S Colakoglu and S Durmaz and C A Kurkcu and P Ekincioglu and T Gunes,0195-6701,J Hosp Infect,"*beta-Lactam Resistance,Adolescent,Adult,Aged,Aged, 80 and over,Anti-Bacterial Agents/*pharmacology,Carbapenems/*pharmacology,Child,Child, Preschool,Female,Hospitals, University,Humans,Infant,Infant, Newborn,Klebsiella Infections/*microbiology,Klebsiella pneumoniae/*drug effects/*genetics/isol,Male,Middle Aged,Tertiary Care Centers,Turkey,Young Adult,beta-Lactamases/*genetics",178--180,{Molecular characterization of carbapenem-resistant Klebsiella pneumoniae in a tertiary university hospital in Turkey},NA,84,2013,2,"1532-2939
Alp, E
Percin, D
Colakoglu, S
Durmaz, S
Kurkcu, C A
Ekincioglu, P
Gunes, T
Journal Article
England
J Hosp Infect. 2013 Jun;84(2):178-80. doi: 10.1016/j.jhin.2013.03.002. Epub 2013 Apr 26.",10.1016/j.jhin.2013.03.002,4/30/2013,eng,23623803,YES,Allison,YES,Ayomide,Ayomide,Zach,yes,,
619,YES,Alsan2010,Article,"• Objective: To review the clinical significance, management, and control of Acinetobacter infections. • Methods: Literature review. • Results: Acinetobacter infections have become a major cause of hospital-acquired infections worldwide. Acinetobacter is noted for its ability to survive for long periods on hospital surfaces and equipment, its predilection to develop resistance to multiple antibiotics, its affinity to cause serious infections in critically ill patients, and many well described outbreaks attributable to contamination of a common source. The crude ICU mortality is approximately 40{\%}. Rigorous antibiotic stewardship and infection control measures are critical to prevent the spread of multidrug-resistant Acinetobacter infections. There is also a pressing need for new therapeutic options. • Conclusion: Acinetobacter is an emerging pathogen of increasing significance.",M Alsan and M Klompas,1079-6533,Journal of Clinical Outcomes Management,"Acinetobacter baumannii,Acinetobacter infection,aminoglycoside,antibiotic resistance,bactericidal activity,beta lactam,beta lactam antibiotic,cephalosporin,cilastatin plus imipenem,colistin,contamination,critically ill patient,epidemic,ertapenem,hospital,hospital infection,human,imipenem,infection control,information retrieval,intensive care unit,medical device,meropenem,nonhuman,pathogenesis,review,sulbactam,sultamicillin,tigecycline,ventilator associated pneumonia",27--35,{Acinetobacter baumannii: An emerging and important pathogen},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L360085134 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=10796533{\&}id=doi:{\&}atitle=Acinetobacter+baumannii{\%}3A+An+emerging+and+important+pathogen{\&}stitle=J.+Clin.+Outcome,17,2010,8,NA,NA,NA,NA,NA,YES,Allison,YES,Mushtaq,Mushtaq,Zach,yes,,
626,YES,Alsuwaidi2010,Article,"This report describes for the first time Corynebacterium macginleyi as a cause of conjunctivitis in Canada, where menaquinone analysis was done as part of the strain characterization. This species is typically isolated from ocular surfaces of patients from Europe and Japan. The isolate was resistant to erythromycin and clindamycin. Copyright {\textcopyright} 2010, American Society for Microbiology. All Rights Reserved.",A R Alsuwaidi and D Wiebe and T Burdz and B Ng and A Reimer and C Singh and K Bernard,0095-1137,J Clin Microbiol,",16S/genetics,Anti-Bacterial Agents/pharmacology,Bacterial,Bacterial Typing Techniques,Bacterial/chemistry/genetics,Canada,Clindamycin/pharmacology,Cluster Analysis,Conjunctivitis/*microbiology/pathology,Corynebacterium,Corynebacterium Infections/*diagnosis/microbiology,Corynebacterium infection,Corynebacterium macginleyi,Corynebacterium/classification/drug effects/geneti,DNA,Drug Resistance,Erythromycin/pharmacology,Female,Humans,Middle Aged,Molecular Sequence Data,Phylogeny,RNA,Ribosomal,Ribosomal/chemistry/genetics,Sequence Analysis,Vitamin K 2/analysis,adult,antibiotic resistance,antibiotic therapy,article,artificial tear,bacterium culture,bacterium isolation,case report,conjunctivitis,female,human,menaquinone,moxifloxacin,nucleotide sequence,priority journal,strain difference,tear refresher,treatment outcome,unclassified drug",3788--3790,{Corynebacterium macginleyi conjunctivitis in Canada},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L359740497 http://dx.doi.org/10.1128/JCM.01289-10 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=00951137{\&}id=doi:10.1128{\%}2FJCM.01289-10{\&}atitle=Corynebacterium+macginle,48,2010,10,"From Duplicate 1 (Corynebacterium macginleyi conjunctivitis in Canada - Alsuwaidi, A R; Wiebe, D; Burdz, T; Ng, B; Reimer, A; Singh, C; Bernard, K)

1098-660x
Alsuwaidi, Ahmed R
Wiebe, Deborah
Burdz, Tamara
Ng, Betty
Reimer, Aleisha
Singh, Cathleen
Bernard, Kathryn
Case Reports
Journal Article
United States
J Clin Microbiol. 2010 Oct;48(10):3788-90. doi: 10.1128/JCM.01289-10. Epub 2010 Aug 11.",10.1128/jcm.01289-10,8/13/2010,eng,20702661,YES,Cale,YES,Zach,Zach,Zach,yes,,
841,MAYBE,Anil2009,Article,"Objective: To analyze an outbreak caused by a multipl resistant strain of S. typhimurium in a newborn unit in Turkey. Methods: The outbreak occured during the period 15 to 29 March,2005. A newborn infected with S. typhimurium was defined as a case. Newborns who were hospitalized during the outbreak period with no diagnosis of S. typhimurium infections (n=50) constituted the control group I (CG I). The matched patients of the control group II (CG II) (n=20) were selected from neonates without S. typhimurium infections during the period. Results: Of 22 infants who were affected two died. Cases developed diarrhea (n=20), septicemia (n=5) and meningtis (n=1). The strain was resistant to ampicillin, ceftriaxone, ceftazidime, amikacin, trimethoprim-sulfamethoxasole and chloromphenicol, susceptible to meropenem. All of the infected neonates were treated with meropenem. The surveillance cultures were negative. The outbreak was controlled by approprite therapy and institution of effective control measures. The cases were more exposed to mechanical ventilation than CG I (p{\textless}0.05). The mean additional length of stay in cases was significantly different from CG II (14.9 days vs. 5.1 days, p{\textless}0.05). The mean charges was {\$}1588.78 for a case and {\$}506.94 for a control (P{\textless}0.05). Accommodation accounted for 44.5{\%} of these extra charges. Conclusion: This study increases the understanding of the burden of multidrug-resistant S. typhimurium infection. Nosocomial outbreaks have a major effect on healthcare delivery, costs and outcomes. {\textcopyright} 2009 Dr. K C Chaudhuri Foundation.",M Anil and M Helvaci and N Ozkalay and E Toprak and A B Anil and M Dilek and N Agus,0019-5456,Indian Journal of Pediatrics,"Salmonella enterica serovar Typhimurium,Turkey (republic),ampicillin,antibiotic sensitivity,article,artificial ventilation,bacterium culture,ceftazidime,ceftriaxone,chloramphenicol,clinical article,controlled study,cotrimoxazole,diarrhea,epidemic,female,groups by age,hospital charge,hospitalization,human,infant,infection control,length of stay,male,meningitis,meropenem,mortality,newborn,nonhuman,salmonellosis,septicemia",629--633,{Salmonella typhimurium outbreak in a neonatal unit in Turkey},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L50506426 http://dx.doi.org/10.1007/s12098-009-0083-4 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=00195456{\&}id=doi:10.1007{\%}2Fs12098-009-0083-4{\&}atitle=Salmonella+typh,76,2009,6,NA,NA,NA,NA,NA,MAYBE,Brooke,MAYBE,Ayomide,Ayomide,Zach,yes,,
1045,YES,Arvand2015,Article,"In 2011, the Shiga toxin- and extended-spectrum beta-lactamase (ESBL)-producing Escherichia coli O104:H4 caused a serious outbreak of gastroenteritis in Germany. This strain carried bla(CTX-M-15) and bla(TEM-1) on an IncI1-ST31 plasmid. During screening of individuals at risk for acquisition of the epidemic E. coli O104:H4, we isolated another ESBL-producing and Shiga toxin-positive E. coli belonging to serotype O91:H14 from feces of a human patient. Interestingly, the patient also carried a further ESBL-producing but Shiga toxin-negative E. coli. Both strains harbored bla(CTX-M-15) and bla(TEM-1) on an IncI1-ST31 plasmid, which was indistinguishable regarding size and plasmid restriction pattern from the plasmid of the epidemic E. coli O104:H4 strain. The patient had traveled to India 6 months prior to the isolation of the E. coli strains. This is the first report of an ESBL-producing, Shiga toxin-positive E. coli of serogroup O91. Our data suggest a high propensity of the IncI1-ST31 plasmid to spread in the human and/or animal population.",M Arvand and G Bettge-Weller and A Fruth and H Uphoff and Y Pfeifer,1438-4221,Int J Med Microbiol,",Antimicrobial resistance,Bacterial/genetics,Conjugative transfer,DNA,E. coli,Esbl,Escherichia coli,Escherichia coli Infections/*microbiology,Escherichia coli Proteins/genetics/*secretion,Escherichia coli infection,Feces/*microbiology,Gene Transfer,Germany,Horizontal,Humans,India,Molecular Weight,Plasmids/*analysis,Restriction Mapping,Serotyping,Shiga toxin,Shiga-Toxigenic Escherichia coli/classification/*e,Travel,adult,antibiotic resistance,article,bacterial gene,bacterium isolate,beta-Lactamases/genetics/*secretion,epidemic,extended spectrum beta lactamase,feces analysis,female,human,minimum inhibitory concentration,multilocus sequence typing,nonhuman,plasmid,purification,risk factor,screening test,serotype",404--407,{Extended-spectrum beta-lactamase-producing Shiga toxin gene (stx1)-positive Escherichia coli O91:H14 carrying blaCTX-M-15 on an IncI1-ST31 plasmid isolated from a human patient in Germany},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L603208302 http://dx.doi.org/10.1016/j.ijmm.2015.03.003 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=16180607{\&}id=doi:10.1016{\%}2Fj.ijmm.2015.03.003{\&}atitle=Extended-spe,305,2015,3,"From Duplicate 1 (Extended-spectrum beta-lactamase-producing Shiga toxin gene (stx1)-positive Escherichia coli O91:H14 carrying blaCTX-M-15 on an IncI1-ST31 plasmid isolated from a human patient in Germany - Arvand, M; Bettge-Weller, G; Fruth, A; Uphoff, H; Pfeifer, Y)

1618-0607
Arvand, Mardjan
Bettge-Weller, Gudrun
Fruth, Angelika
Uphoff, Helmut
Pfeifer, Yvonne
Journal Article
Germany
Int J Med Microbiol. 2015 May;305(3):404-7. doi: 10.1016/j.ijmm.2015.03.003. Epub 2015 Mar 6.",10.1016/j.ijmm.2015.03.003,3/25/2015,eng,25801683,YES,Allison,YES,Brooke,Brooke,Zach,yes,,
