STUDY_ID,INCLUDE,X1,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,ROUND1INC,ROUND1REV,ROUND2INC,ROUND2REV,REVIEWERS,FT_REV,DOWNLOADED
23579,MAYBE,Zielinska-Borkowska2010,Article,"BACKGROUND: Intensive therapy units are the places where pathogens can easily spread. Improper antibiotic therapy contributes to the selection of new strains called multidrug-resistant, extensively drug-resistant or pandrug-resistant. For ITU patients, such pathogens are particularly dangerous. CASE REPORT: The case of a 50-year-old man diagnosed with septic shock after repeated surgeries due to Vater's ampulla tumour was described. In blood and peritoneal fluid cultures, Enterobacter cloacae ESBL and Klebsiella pneumoniae were first isolated; then Acinetobacter baumannii was also detected. The targeted antibiotic therapy instituted did not bring the expected results. On day 5, tigecycline and imipenem were started and continued over 10 days. After 4 days of combined therapy, bacterial strains were eradicated. The patient was sent to the referring ward in good condition. CONCLUSION: Combined use of imipenem and a new antibiotic - tigecycline provides effective treatment of septic shock in the course of intra-abdominal infection.",U ZieliÅska-Borkowska and M ZÅotorowicz and U Zielinska-Borkowska and M Zlotorowicz,"0209-1712 (Print)
0209-1712",Anestezjol Intens Ter,",*Drug Resistance,Ampulla of Vater/surgery,Anti-Bacterial Agents/therapeutic use,Bacterial,Combination,Common Bile Duct Neoplasms/*complications/*surgery,Drug Administration Schedule,Drug Therapy,Humans,Imipenem/*therapeutic use,Male,Middle Aged,Minocycline/*analogs {\&} derivatives/therapeutic use,Multiple,Reoperation,Septic/*drug therapy/*microbiology,Shock,ampulla of Vater,antiinfective agent,article,bile duct tumor,case report,drug administration,drug combination,drug derivative,human,imipenem,male,microbiology,middle aged,minocycline,multidrug resistance,reoperation,septic shock,tigecycline",94--96,{[Infection with multidrug-resistant pathogens]},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L362088269 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=02091712{\&}id=doi:{\&}atitle={\%}5BInfection+with+multidrug-resistant+pathogens{\%}5D.{\&}stitle=Anestezjol+Intens+Ter{\&}titl,42,2010,2,"From Duplicate 1 ([Infection with multidrug-resistant pathogens] - Zielinska-Borkowska, U; Zlotorowicz, M)

Zielinska-Borkowska, Urszula
Zlotorowicz, Malgorzata
Case Reports
English Abstract
Journal Article
Poland
Anestezjol Intens Ter. 2010 Apr-Jun;42(2):94-6.",NA,3/19/11,pol,21413435,NO,Jake,YES,Zach,Allison,Mushtaq_2,no
9047,YES,Huang2013c,Article,NA,J Huang and M Wang and H Ding and M Ye and F Hu and Q Guo and X Xu and M Wang,1080-6040,Emerg Infect Dis,"*beta-Lactam Resistance,Carbapenems/*pharmacology,China,Diarrhea/diagnosis/drug therapy/microbiology,Female,Humans,Infant,Microbial Sensitivity Tests,New Delhi metallo-beta-lactamase-1 NDM-1,Salmonella Infections/diagnosis/drug therapy/micro,Salmonella spp.,Salmonella/*drug effects/*genetics/isolation {\&} pur,acute diarrhea,antimicrobial resistance,bacteria,beta-Lactamases/*genetics,carbapenem,carbapenem resistance,carbapenemase,plasmid-mediated",2049--2051,"{New Delhi metallo-beta-lactamase-1 in carbapenem-resistant Salmonella strain, China}",NA,19,2013,12,"1080-6059

Huang, Jinwei

Wang, Minghua

Ding, Hui

Ye, Meiping

Hu, Fupin

Guo, Qinglan

Xu, Xiaogang

Wang, Minggui

Case Reports

Letter

United States

Emerg Infect Dis. 2013 Dec;19(12):2049-51. doi: 10.3201/eid1912.130051.",10.3201/eid1912.130051,11/28/13,eng,24274898,MAYBE,Cale,YES,Zach,Zach,Mushtaq,yes
2845,MAYBE,Bush2014b,Misc,NA,K Bush,"1749-6632
0077-8923",NA,"Salmonella enterica serovar Typhi,antibiotic agent,antibiotic resistance,antibiotic therapy,antimicrobial therapy,article,awareness,carbapenem resistant Enterobacteriaceae,carbapenemase,dengue,dengue vaccine,drug resistant tuberculosis,human,immune response,immunocompromised patient,infection,influenza,medical care,multidrug resistance,pathogenesis,policy,sanitation,sialidase inhibitor,typhoid fever,veterinary medicine,water supply",v--vi,{Introduction to antimicrobial therapeutics reviews: Infectious diseases of current and emerging concern},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L600192480 http://dx.doi.org/10.1111/nyas.12541 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=17496632{\&}id=doi:10.1111{\%}2Fnyas.12541{\&}atitle=Introduction+to+antimicrobia,1323,2014,"(Bush K.) Department of Molecular and Cellular Biochemistry, Indiana University, Bloomington, India",NA,NA,NA,NA,NA,MAYBE,Cale,MAYBE,Mushtaq,Mushtaq,Mushtaq,yes
232,MAYBE,Aguilar-Company2016,Article,"We report 2 cases of recurrent Campylobacter coli enteritis caused by macrolide- and fluoroquinolone-resistant strains in 2 patients with hypogammaglobulinemia, successfully treated with a prolonged course of fosfomycin-tromethamine with no side effects. Fosfomycin-tromethamine may be a feasible alternative therapy for recurrent enteritis caused by Campylobacter species resistant to first-line drugs.",J Aguilar-Company and I Los-Arcos and C Pigrau and D Rodr\'{i}guez-Pardo and M N Larrosa and V Rodr\'{i}guez-Garrido and D Sihuay-Diburga and B Almirante,"1098-6596
0066-4804",Antimicrobial Agents and Chemotherapy,"Campylobacter coli,Campylobacter enteritis,Campylobacter jejuni,Pseudomonas aeruginosa,abdominal pain,adult,aged,amoxicillin plus clavulanic acid,antibiotic sensitivity,article,azithromycin,blood culture,bronchiectasis,bronchodilating agent,case report,chronic diarrhea,ciprofloxacin,colistin,common variable immunodeficiency,disease duration,disease exacerbation,drug treatment failure,epsilometer test,erythromycin,feces culture,female,follow up,fosfomycin trometamol,gastrointestinal infection,gentamicin,human,hypovolemic shock,immunoglobulin,immunoglobulin deficiency,intensive care unit,levofloxacin,macrolide,middle aged,priority journal,quinolone derivative,recurrent infection,respiratory tract infection,tetracycline,thymectomy,thymoma,treatment duration,very elderly",4398--4400,{Potential use of fosfomycin-tromethamine for treatment of recurrent Campylobacter species enteritis},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L611027867 http://dx.doi.org/10.1128/AAC.00447-16 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=10986596{\&}id=doi:10.1128{\%}2FAAC.00447-16{\&}atitle=Potential+use+of+fosfomy,60,2016,7,NA,NA,NA,NA,NA,MAYBE,Brooke,NO,Erica,Mushtaq,Zach_2,yes
1518,YES,Barbier2010,Article,We document here the in vivo transfer of bla(KPC-2) between intensive care unit-acquired and a commensal strain of K. pneumoniae in a French patient after his repatriation from Greece. This first report of an emerging KPC-producing strain in France raises further concerns about the spread of carbapenem resistance among Enterobacteriaceae.,F Barbier and E RuppÌ© and P Giakkoupi and L Wildenberg and J C Lucet and A Vatopoulos and M Wolff and A Andremont and E Ruppe and P Giakkoupi and L Wildenberg and J C Lucet and A Vatopoulos and M Wolff and A Andremont,1025-496x,Eurosurveillance,",*Klebsiella Infections,Aged,Bacterial,Carbapenems/pharmacology,Catheterization,Cross Infection,Drug Resistance,France,Greece,Humans,Intensive Care Units,Klebsiella pneumoniae carbapenemase producing Kleb,Klebsiella pneumoniae infection,Klebsiella pneumoniae/*genetics/isolation {\&} purifi,Male,Transformation,aged,amikacin,amoxicillin,amoxicillin plus clavulanic acid,antibiotic sensitivity,article,aztreonam,bacterial strain,beta-Lactamases/*genetics,case report,catheter infection,cefotaxime,ceftazidime,ciprofloxacin,colistin,cotrimoxazole,doripenem,ertapenem,extended spectrum beta lactamase producing Klebsie,gentamicin,hemorrhagic shock,human,imipenem,intestinal bleeding,male,meropenem,minimum inhibitory concentration,multiple organ failure,piperacillin,piperacillin plus tazobactam,polymerase chain reaction,tigecycline,tobramycin",1--3,{Genesis of a KPC-producing Klebsiella pneumoniae after in vivo transfer from an imported Greek strain},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L358843975 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=1025496X{\&}id=doi:{\&}atitle=Genesis+of+a+KPC-producing+Klebsiella+pneumoniae+after+in+vivo+transfer+from+an+impor,15,2010,1,"From Duplicate 1 (Genesis of a KPC-producing Klebsiella pneumoniae after in vivo transfer from an imported Greek strain - Barbier, F; Ruppe, E; Giakkoupi, P; Wildenberg, L; Lucet, J; Vatopoulos, A; Wolff, M; Andremont, A)

1560-7917
Barbier, F
Ruppe, E
Giakkoupi, P
Wildenberg, L
Lucet, Jc
Vatopoulos, A
Wolff, M
Andremont, A
Case Reports
Journal Article
Research Support, Non-U.S. Gov't
Sweden
Euro Surveill. 2010 Jan 7;15(1). pii: 19457.",NA,1/14/10,eng,20067746,YES,Brooke,NO,Mushtaq,Allison,Zach_2,yes
2963,MAYBE,Caltagirone2015,Article,"A 62-year-old patient was transferred to the cardiac rehabilitation unit of the I.R.C.C.S. Fondazione S. Maugeri after undergoing a heart transplantation at the Acute Care Hospital I.R.C.C.S. S. Matteo of Pavia. On 1 August 2013 and during hospitalization in the rehabilitation unit, Klebsiella oxytoca and Citrobacter koseri clinical isolates were simultaneously recovered from the patient's preputial swab. Both the K. oxytoca and C. koseri strains were carbapenem- resistant by MicroScan System (Beckman Coulter). Carbapenem-resistant K. pneumoniae had previously been reported in the same rehabilitation facility. The aim of the study was to identify the carbapenem resistance mechanisms among the enterobacterial species recovered. Phenotypic screening tests useful to detect the beta-lactamases/carbapenemases were performed. Carbapenem MICs were obtained by Etest. AmpC and MBL encoding genes were identified by PCR and sequencing. Conjugation assays and plasmid characterization were performed. Both of the K. oxytoca and C. koseri isolates were multi drug resistant, showing resistance to amoxicillin-clavulanic acid, three generation cephalosporins, ertapenem (K. oxytoca MIC, {\textgreater}32 mg/L; C. koseri MIC, 4 mg/L), imipenem (K. oxytoca MIC, 4 mg/L; C. koseri MIC, 12 mg/L), thrimethoprim sulphamethoxazole and gentamicin. Susceptibility was retained to fluoroquinolones, colistin and tigecycline. Molecular characterization confirmed the co-presence of blaCMY-4 and blaVIM-4 determinants in a 150 Kb transferable plasmid of IncA/C group. This case is the first detection in Italy of the K. oxytoca and C. koseri clinical isolates co-producing the CMY-4 and VIM-4 enzymes.",M Caltagirone and I Bitar and A Piazza and M Spalla and E Nucleo and A Navarra and R Migliavacca,"1121-7138 (Print)
1121-7138",New Microbiol,"Anti-Bacterial Agents/pharmacology,Bacterial Proteins/*genetics,Cephalosporinases,Citrobacter koseri/drug effects/*enzymology/geneti,Enterobacteriaceae Infections/*microbiology,Hospitalization,Humans,Inpatients,Italy,Klebsiella Infections/*microbiology,Klebsiella oxytoca/drug effects/*enzymology/geneti,Male,Metallo-beta-lactamases,Microbial Sensitivity Tests,Middle Aged,Multi-drug resistant Enterobacteriaceae,Plasmids/*genetics,Rehabilitation unit,beta-Lactamases/*genetics",387--392,{Detection of an IncA/C plasmid encoding VIM-4 and CMY-4 beta-lactamases in Klebsiella oxytoca and Citrobacter koseri from an inpatient in a cardiac rehabilitation unit},NA,38,2015,3,"Caltagirone, Mariasofia
Bitar, Ibrahim
Piazza, Aurora
Spalla, Melissa
Nucleo, Elisabetta
Navarra, Antonella
Migliavacca, Roberta
Case Reports
Journal Article
Research Support, Non-U.S. Gov't
Italy
New Microbiol. 2015 Jul;38(3):387-92. Epub 2015 Jul 6.",NA,7/7/15,eng,26147151,MAYBE,Cale,MAYBE,Erica,Erica,Zach_2,yes
3067,MAYBE,Cao2011b,Article,"A total of 222 urinary Escherichia coli isolates from 20 tertiary hospitals in 15 different provinces and 4 municipalities in mainland China were characterized by antimicrobial susceptibility, phylogrouping, and the presence of plasmid-mediated quinolone resistance genes. A subset of 138 suspected extended-spectrum cephalosporinase (ESC) producers were examined for genes encoding cephalosporin resistance. Forty-three isolates harboring bla(CTX-M-14) or bla(CTX-M-15) were analyzed by pulsed-field gel electrophoresis (PFGE), and plasmids containing these genes were typed using PCR-based replicon typing (PBRT). Thirteen phylogroup B2 bla(CTX-M-14)- and bla(CTX-M-15)-positive isolates were analyzed by multilocus sequence typing (MLST). A frequent occurrence of resistance ({\textgreater}46{\%}) was observed toward cephalosporins, gentamicin, and fluoroquinolones. Among the 222 isolates, 4 qnrS1, 4 qepA, and 16 aac(6')-Ib-cr genes were confirmed. Four major phylogroups (A, B1, B2, and D) and nontypeable isolates (NTs) were found among the isolates, with phylogroup D (54{\%}) being the most common phylogroup. A total of 110 (80{\%}) of the 138 screened isolates harbored bla(CTX-M) genes, with bla(CTX-M-14) (71{\%}) and bla(CTX-M-15) (24{\%}) being the most prevalent of these genes. Nine of the 13 CTX-M-15- or CTX-M-14-containing B2 isolates belonged to ST131. PFGE typing showed a high level of diversity, and plasmid analysis indicated a very large pool of different resistance plasmids mediating the spread of bla(CTX-M) genes in mainland China. An equally very high frequency of resistance and equally high levels of diversity in phylogroups, PFGE types, and plasmids were observed among community- and hospital-acquired E. coli isolates, indicating the presence of a large reservoir in the community and a long-term spread of cephalosporin resistance in China.",X Cao and L M Cavaco and Y Lv and Y Li and B Zheng and P Wang and H Hasman and Y Liu and F M Aarestrup,0095-1137,J Clin Microbiol,"*Molecular Typing,Anti-Bacterial Agents/*pharmacology,China,Cluster Analysis,Electrophoresis, Gel, Pulsed-Field,Escherichia coli Infections/*microbiology,Escherichia coli/*classification/*drug effects/iso,Genetic Variation,Genotype,Hospitals,Humans,Microbial Sensitivity Tests,Multilocus Sequence Typing,Plasmids/analysis,Polymerase Chain Reaction,Urinary Tract Infections/*microbiology,beta-Lactamases/biosynthesis/genetics",2496--2501,{Molecular characterization and antimicrobial susceptibility testing of Escherichia coli isolates from patients with urinary tract infections in 20 Chinese hospitals},NA,49,2011,7,"1098-660x
Cao, Xiaoli
Cavaco, Lina M
Lv, Yuan
Li, Yun
Zheng, Bo
Wang, Pengyuan
Hasman, Henrik
Liu, Yucun
Aarestrup, Frank M
Journal Article
Research Support, Non-U.S. Gov't
United States
J Clin Microbiol. 2011 Jul;49(7):2496-501. doi: 10.1128/JCM.02503-10. Epub 2011 Apr 27.",10.1128/jcm.02503-10,4/29/11,eng,21525216,YES,Allison,NO,Erica,Mushtaq,Zach_2,yes
3368,YES,Chagas2015,Article,NA,T P G Chagas and A P D Carvalho-Assef and C A {Martins Aires} and R Bertocini and M D Asensi,"2213-7173
2213-7165",Journal of Global Antimicrobial Resistance,"Acinetobacter,Acinetobacter baumannii,Acinetobacter bereziniae,Brazil,New Delhi metallo beta lactamase,RNA 16S,adult,amikacin,antibiotic resistance,bacterium detection,blood sampling,cefepime,ceftazidime,ciprofloxacin,cotrimoxazole,edetic acid,ertapenem,gene sequence,hospital patient,human,imipenem,letter,male,meropenem,metallo beta lactamase,minimum inhibitory concentration,multidrug resistance,nonhuman,nucleotide sequence,piperacillin plus tazobactam,priority journal,unclassified drug,young adult",147--148,{Detection of an NDM-1-producing Acinetobacter bereziniae strain in Brazil},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L604021474 http://dx.doi.org/10.1016/j.jgar.2015.03.005 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=22137173{\&}id=doi:10.1016{\%}2Fj.jgar.2015.03.005{\&}atitle=Detection+of,3,2015,2,NA,NA,NA,NA,NA,YES,Brooke,YES,Erica,Erica,Zach_2,yes
4673,MAYBE,Das2013b,Article,"This study deals with the underlying causes of failure of chloroquine in the treatment of Plasmodium falciparum infection in some malaria-endemic regions of India. Samples were collected from 141 patients in Purulia from March of 2007 to April of 2008. In vitro drug susceptibility tests, parasitic DNA isolation followed by polymerase chain reaction, and restriction fragment-length polymorphisms of different codons of the pfcrt gene (76) and pfmdr-I genes (86, 1042, and 1246) were assessed. The responses of 141 patients to chloroquine were determined. Prevalence of double pfmdr-I (58.16{\%}) mutation (86Y+1246Y) and some (14.89{\%}) single pfcrt mutations with triple pfmdr-I mutation (76T+86Y+1042D+1246Y) were found. Interestingly, double pfmdr-I mutation (86Y and 1246Y codons) was observed with the early treatment failure cases. These results show, for the first time in India that in vitro chloroquine resistance and in vivo chloroquine treatment failure were caused by double pfmdr-I (P {\textless} 0.001) mutation.",S Das and S P Chakraborty and A K Hati and S Roy,Feb-37,Am J Trop Med Hyg,"*Mutation,Antimalarials/*pharmacology/therapeutic use,Child,Child, Preschool,Chloroquine/*pharmacology/therapeutic use,DNA, Protozoan/analysis/genetics,Drug Resistance/*genetics,Female,Genotype,Humans,India/epidemiology,Malaria, Falciparum/drug therapy/epidemiology/para,Male,Multidrug Resistance-Associated Proteins/*genetics,Parasitic Sensitivity Tests,Plasmodium falciparum/drug effects,Polymerase Chain Reaction/methods,Polymorphism, Restriction Fragment Length,Prevalence,Treatment Failure",828--834,{Association between prevalence of chloroquine resistance and unusual mutation in pfmdr-I and pfcrt genes in India},NA,88,2013,5,"1476-1645
Das, Sabyasachi
Chakraborty, Subhankari Prasad
Hati, Amiya Kumar
Roy, Somenath
Journal Article
United States
Am J Trop Med Hyg. 2013 May;88(5):828-34. doi: 10.4269/ajtmh.11-0795. Epub 2013 Mar 18.",10.4269/ajtmh.11-0795,3/20/13,eng,23509121,YES,Allison,MAYBE,Brooke,Brooke,Zach_2,yes
6177,MAYBE,Farooqui2016,Article,NA,F Farooqui and M A Chaney and C Staikou and S P Cole,"1532-8422
1053-0770",Journal of Cardiothoracic and Vascular Anesthesia,"African American,Edwards 27-mm Magna Ease valve,New York Heart Association class,acetic acid plus gluconate sodium plus magnesium c,acute chest syndrome,adult,anesthesia induction,antibiotic therapy,article,avascular necrosis,bacterial endocarditis,beta thalassemia,blood clotting time,cardioplegia,cardiopulmonary bypass,cardiopulmonary bypass equipment,case report,catheter infection,central venous catheter,chronic pain,creatinine,creatinine blood level,cryoprecipitate,crystalloid,deep vein thrombosis,dyspnea,endotracheal intubation,endotracheal tube,erythrocyte concentrate,exchange blood transfusion,female,fentanyl,folic acid,foot ulcer,fresh frozen plasma,heart atrium appendage,heart failure,heart left ventricle ejection fraction,hematocrit,hemodialysis,hemoglobin S,hemoglobin blood level,heparin,heparinization,human,hydromorphone,induced hypothermia,intensive care unit,lung embolism,mean arterial pressure,methadone,methicillin resistant Staphylococcus aureus,methicillin resistant Staphylococcus aureus infect,midazolam,middle aged,mitral valve prosthesis,mitral valve regurgitation,mitral valve replacement,pentoxifylline,phenylephrine,priority journal,propofol,pulmonary hypertension,sickle cell anemia,sickle cell crisis,skin transplantation,sternotomy,thrombocyte transfusion,transesophageal echocardiography,transthoracic echocardiography,treatment duration,tricuspid annuloplasty,tricuspid valve regurgitation,tricuspid valve repair,urine volume,vecuronium,warfarin",1409--1418,{CASE 10ÛÓ2016: Hemoglobinopathies and Cardiac Surgery},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L612718235 http://dx.doi.org/10.1053/j.jvca.2016.03.156 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=15328422{\&}id=doi:10.1053{\%}2Fj.jvca.2016.03.156{\&}atitle=CASE+10ÛÓ2016,30,2016,5,NA,NA,NA,NA,NA,YES,Allison,MAYBE,Mushtaq,Mushtaq,Zach_2,no
