STUDY_ID,INCLUDE,X1,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,ROUND1INC,ROUND1REV,ROUND2INC,ROUND2REV,REVIEWERS,FT_REV,DOWNLOADED,REASON,NOTES
148,MAYBE,Adler2014,Article,NA,B L Adler and A Krausz and A J Friedman,2168-6068,JAMA Dermatol,",*Drug Resistance,Acinetobacter Infections/drug therapy/*microbiolog,Acinetobacter baumannii,Acinetobacter baumannii/*drug effects,Acinetobacter infection,Anti-Bacterial Agents/therapeutic use,Bacterial,Bacterial/drug therapy/*microbiolog,Community-Acquired Infections/drug therapy/microbi,Female,Humans,Methicillin-Resistant Staphylococcus aureus,Middle Aged,Multiple,Skin Diseases,adult,antibiotic sensitivity,case report,dermal plaque,epithelization,erythema,female,hospital admission,hospital discharge,human,human tissue,letter,methicillin resistant Staphylococcus aureus,middle aged,neuropathic pain,polymyxin B,priority journal,scar formation,skin disease,skin edema,skin infection,skin ulcer,soft tissue infection,tigecycline,tissue culture,wound care",905--906,{Acinetobacter baumannii emerging as a multidrug-resistant skin and soft-tissue pathogen: Parallels to methicillin-resistant Staphylococcus aureus},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L373844605 http://dx.doi.org/10.1001/jamadermatol.2013.8855 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=21686068{\&}id=doi:10.1001{\%}2Fjamadermatol.2013.8855{\&}atitle=Acin,150,2014,8,"From Duplicate 1 (Acinetobacter baumannii emerging as a multidrug-resistant skin and soft-tissue pathogen: parallels to methicillin-resistant Staphylococcus aureus - Adler, B L; Krausz, A; Friedman, A J)

2168-6084
Adler, Brandon L
Krausz, Aimee
Friedman, Adam J
Case Reports
Journal Article
Research Support, Non-U.S. Gov't
United States
JAMA Dermatol. 2014 Aug;150(8):905-6. doi: 10.1001/jamadermatol.2013.8855.",10.1001/jamadermatol.2013.8855,6/20/2014,eng,24943071,MAYBE,Cale,MAYBE,Mushtaq,Mushtaq,Zach,yes,,
201,YES,Aggoune2008a,Article,NA,N Aggoune and A Chabani and D Tiouit and M Naim and K Rahal,"0399-077X
1769-6690",Medecine et Maladies Infectieuses,"Algeria,Enterococcus faecalis,adult,amoxicillin plus clavulanic acid,ampicillin,antibiotic agent,antibiotic prophylaxis,antibiotic resistance,case report,clinical feature,clinical practice,cotrimoxazole,cytology,drug efficacy,enterococcal infection,erythromycin,furan derivative,gentamicin,glycopeptide,human,laboratory test,letter,levofloxacin,lincomycin,linezolid,nitroxoline,penicillin G,pristinamycin,rifampicin,streptomycin,teicoplanin,tetracycline,vancomycin",557--558,{First case of vancomycin-resistant Enterococcus faecalis in Algeria},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L50277510 http://dx.doi.org/10.1016/j.medmal.2008.05.003 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=0399077X{\&}id=doi:10.1016{\%}2Fj.medmal.2008.05.003{\&}atitle=First+cas,38,2008,10,NA,NA,NA,NA,NA,YES,Brooke,YES,Zach,Zach,Zach,no,could not get full-text in English,
267,YES,Ahmed2008,Article,"Citrobacter freundii strain 4306 was isolated from a urine specimen of a patient in March 2006 in Palestine. This strain showed a unique multidrug resistance phenotype, as it was resistant both to 7-$\alpha$-methoxy- and oxyimino-cephalosporins, including cefepime, cefpirome and monobactams, in addition to quinolones, streptomycin and trimethoprim/sulfamethoxazole. Clavulanic acid did not act synergistically with cephalosporins by the double-disk synergy test. Molecular characterisation showed that the resistance to 7-$\alpha$-methoxy- and oxyimino-cephalosporins was due to a novel AmpC $\beta$-lactamase, designated CMY-37, with an isoelectric point of ∼9.0. CMY-37 is a variant of C. freundii chromosomal AmpC enzymes with at least seven amino acid substitutions. One of these substitutions, L316I, is located within the R2 loop that is considered the hotspot region responsible for the extended substrate spectrum in class C $\beta$-lactamases. The blaCMY-37 gene was cloned and expressed in Escherichia coli TG1. CMY-37 is chromosomally encoded and is not associated with ISEcp1-like element. Phylogenetic analysis suggested that CMY-37 is the origin of many plasmid-mediated AmpC $\beta$-lactamases. This study highlights the emergence of cefepime and cefpirome resistance in C. freundii owing to a new type of AmpC $\beta$-lactamase. {\textcopyright} 2008 Elsevier B.V. and the International Society of Chemotherapy.",A M Ahmed and T Shimamoto,"0924-8579 (Print)
0924-8579",Int J Antimicrob Agents,",*Bacterial Proteins/chemistry/genetics/metabolism,*Cephalosporin Resistance,*Citrobacter freundii/drug effects/enzymology/gene,*beta-Lactamases/chemistry/genetics/metabolism,7 alpha methoxy cephalosporin,Amino Acid Sequence,Anti-Bacterial Agents/*pharmacology,Bacterial/genetics,Cephalosporins/*pharmacology,Chromosomes,Citrobacter freundii,Enterobacteriaceae Infections/microbiology,Escherichia coli,Humans,Microbial Sensitivity Tests,Molecular Sequence Data,Phylogeny,amoxicillin plus clavulanic acid,ampicillin,antibiotic resistance,article,aztreonam,bacterial strain,bacterium isolate,beta lactam antibiotic,beta lactamase AmpC,beta lactamase cmy 37 gene,beta-Lactam Resistance,cefalotin,cefepime,cefoperazone,cefotaxime,cefotetan,cefoxitin,cefpirome,cefpodoxime,ceftriaxone,cephalosporin derivative,chloramphenicol,ciprofloxacin,clavulanic acid,cmy 37 enzyme,controlled study,cotrimoxazole,gene,gene expression,human,imipenem,major clinical study,minimum inhibitory concentration,monobactam derivative,nalidixic acid,nonhuman,norfloxacin,nucleotide sequence,oxyimino cephalosporin,phylogeny,priority journal,quinoline derived antiinfective agent,streptomycin,tetracycline,unclassified drug,unindexed drug,urinalysis",256--261,"{Emergence of a cefepime- and cefpirome-resistant Citrobacter freundii clinical isolate harbouring a novel chromosomally encoded AmpC beta-lactamase, CMY-37}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L50203770 http://dx.doi.org/10.1016/j.ijantimicag.2008.04.019 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=09248579{\&}id=doi:10.1016{\%}2Fj.ijantimicag.2008.04.019{\&}atitle,32,2008,3,"From Duplicate 2 (Emergence of a cefepime- and cefpirome-resistant Citrobacter freundii clinical isolate harbouring a novel chromosomally encoded AmpC beta-lactamase, CMY-37 - Ahmed, A M; Shimamoto, T)

Ahmed, Ashraf M
Shimamoto, Tadashi
Journal Article
Research Support, Non-U.S. Gov't
Netherlands
Int J Antimicrob Agents. 2008 Sep;32(3):256-61. doi: 10.1016/j.ijantimicag.2008.04.019. Epub 2008 Jul 10.",10.1016/j.ijantimicag.2008.04.019,7/16/2008,eng,18619820,YES,Brooke,YES,Ayomide,Ayomide,Zach,yes,,
308,YES,Airede2008,Article,"OBJECTIVE: Neonatal bacterial meningitis is devastating, with attendant high mortality and neurological sequelae. We, therefore, aimed to delineate its current incidence, etiologic, clinical, laboratory spectra, and the effect of steroid therapy on the outcome. METHODOLOGY: Babies admitted from 1992 to 1995 in the Special Care Baby Unit of the University of Maiduguri Teaching Hospital, Maduguri, Nigeria, with bacterial meningitis were studied prospectively. Neonatal bacterial meningitis was confirmed if the cerebrospinal fluid (CSF) microbiological, chemical, immunological and clinical criteria were satisfied. Detailed neurological follow-up was made. RESULT: Sixty-nine cases of neonatal bacterial meningitis were encountered, (25 were early-onset, and 44 late-onset); the incidence was 6.5/1000 live births. 22 Positive CSF cultures were grown in early-onset meningitis, and 28 in late-onset disease. Low birth weight showed higher risk of bacterial meningitis and it was significantly more likely in the preterm. X2 = 24.19, p = 0.000001). Gram-negative pathogens were more isolated (28/50, 56{\%}); Escherichia coli (11) being the commonest, while of the Gram-positive pathogens Staphylococcus aureus was most predominant overall (13/50). Concomitant blood culture was positive in 39/50 (78{\%}), inclusive of all 22 {""}definite{""} early-onset disease. The CSF WBC was minimally raised (25-30 x 10(6)/L) in 11 (22{\%}) of {""}definite{""} neonatal bacterial meningitis. Detection of unusual pathogens was noteworthy: N. meningitidis (2) and H. influenzae (2), contributing 0.6 and 2.2 per 1000 live births and admissions, respectively. Overall mortality was 24.6{\%}. Of the forty survivors, 9 (22.5{\%}) had neurological sequelae: sensorineural hearing deficit (3), hydrocephalus (2), subdural effusion (2), hemiparesis (1), afebrile (recurrent) seizure (1), and there was reduced developmental quotients at 24 months follow-up in 33. Dexamethasone therapy decreased mortality significantly; p = 0.0004. CONCLUSION: The new information highlighted by this research includes the lack of Group B Streptococcus isolation, the finding of S. pneumoniae, N. meningitidis, H. influenzae and S. aureus as significant pathogens, usefulness of blood cultures in the detection of neonatal bacterial meningitis, increasing resistance of Gram-positive neonatal pathogens to cloxacillin, low CSF WBC, and the finding that the adjunctive use of dexamethasone significantly decreases case fatality and neurological sequelae.",K I Airede and O Adeyemi and T Ibrahim,1119-3077 (Print),Niger J Clin Pract,"Anti-Bacterial Agents/therapeutic use,Anti-Inflammatory Agents/*therapeutic use,Dexamethasone/*therapeutic use,Female,Glucocorticoids/*therapeutic use,Humans,Incidence,Infant, Low Birth Weight,Infant, Newborn,Male,Meningitis, Bacterial/cerebrospinal fluid/*diagnos,Nigeria/epidemiology,Prospective Studies,Risk Factors",235--245,{Neonatal bacterial meningitis and dexamethasone adjunctive usage in Nigeria},NA,11,2008,3,"Airede, K I
Adeyemi, O
Ibrahim, T
Journal Article
India
Niger J Clin Pract. 2008 Sep;11(3):235-45.",NA,1/15/2009,eng,19140361,MAYBE,Cale,YES,Nchedo,Nchedo,Zach,no,could not find full-text,
407,YES,Al-Mathal2010,Article,Perhaps this is the first case of bertiellosis studeri record in Egyptian worker returning back from Saudi Arabia. The patient was resistant to Niclosamide but successfully treated with Commiphora molmol extract.,E M Al-Mathal and N M Saleh and T A Morsy,"1110-0583 (Print)
1110-0583",J Egypt Soc Parasitol,"Animals,Anticestodal Agents/therapeutic use,Cestode Infections/epidemiology/*parasitology,Egypt/epidemiology,Humans,Male,Niclosamide/therapeutic use,Plant Extracts/therapeutic use,Resins, Plant,Saudi Arabia/epidemiology,Travel,Young Adult",89--92,{Human infection with Bertiella studeri (Cestode: Anoplocephalidae) in an Egyptian worker returning back from Saudi Arabia},NA,40,2010,1,"Al-Mathal, Ebtesam M
Saleh, Nagla Mostafa K
Morsy, Tosson A
Case Reports
Journal Article
Egypt
J Egypt Soc Parasitol. 2010 Apr;40(1):89-92.",NA,5/28/2010,eng,20503589,YES,Cale,YES,Ayomide,Ayomide,Zach,no,could not get full-text access through Emory,
415,MAYBE,Al-Obeid2010,Article,"Strain D958, a methicillin-resistant Staphylococcus aureus strain with reduced susceptibility to vancomycin, was isolated from a 69-year-old Saudi male patient presenting with severe sepsis immediately after admission. Despite high serum levels of vancomycin, the same S. aureus strain was isolated from five blood culture sets during 1 week. Treatment failure under therapeutic levels of vancomycin prompted us to investigate the resistance profile of this strain in further detail. The MIC values for vancomycin as determined by Etest and microdilution were 3.0 and 2.0 mg/liter, respectively, and remained unchanged during the treatment course. The macro-Etest method showed a MIC of 4 mg/liter. The strain showed liquid vancomycin and lysostaphin MBCs of 2.0 and 5.0 mg/liter, respectively. The isolates were confirmed as heterogeneously vancomycin-intermediate S. aureus (hVISA) by vancomycin population analysis profile. The areas under these curves were similar for Mu3 and D958 for vancomycin and teicoplanin (ratio values were 1 and 1.1 for vancomycin and teicoplanin, respectively). Extensive genotyping and molecular characterization demonstrated that the strain harbored a staphylococcal cassette chromosome mec element (SCCmec) type III cassette and was of sequence type ST241, a single-locus variant of the successful multiresistant clone ST239. Microarray results demonstrated that D958 contained numerous resistance determinants (generally plasmid or phage encoded). These results suggest that this strain is constitutively expressing an altered susceptibility to vancomycin. Further studies are warranted to assess the clonal distribution of such strains displaying reduced susceptibility to vancomycin prior to any antimicrobial therapy.",S Al-Obeid and Q Haddad and A Cherkaoui and J Schrenzel and P François and P Francois,0095-1137,J Clin Microbiol,",*Vancomycin Resistance,Aged,Anti-Bacterial Agents/analysis/*pharmacology/thera,Bacterial,Bacterial Typing Techniques,Bacterial/genetics,Blood/microbiology,Chromosomes,Cluster Analysis,DNA,DNA Fingerprinting,Genes,Genotype,Humans,Lysostaphin/pharmacology,Male,Methicillin-Resistant Staphylococcus aureus/*drug,Microarray Analysis,Microbial Sensitivity Tests,Microbial Viability/drug effects,Plasmids,Saudi Arabia,Sepsis/*microbiology,Serum/chemistry,Staphylococcal Infections/*microbiology,Staphylococcus aureus,Teicoplanin/pharmacology,Vancomycin/analysis/*pharmacology/therapeutic use,abdominal pain,aged,antimicrobial therapy,area under the curve,article,asthma,bacterium detection,bacterium isolate,blood culture,brain hemorrhage,case report,chemical structure,chromosome,ciprofloxacin,clindamycin,cotrimoxazole,drug sensitivity,drug substitution,erythromycin,fever,fusidic acid,genotype,gentamicin,heart failure,human,hypertension,kidney failure,levofloxacin,linezolid,lysostaphin,male,meropenem,meticillin,minimum inhibitory concentration,penicillin G,priority journal,purification,rifampicin,sepsis,systolic dysfunction,teicoplanin,tigecycline,treatment duration,treatment failure,vancomycin",2199--2204,{First detection of an invasive Staphylococcus aureus strain (D958) with reduced susceptibility to glycopeptides in Saudi Arabia},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L358912807 http://dx.doi.org/10.1128/JCM.00954-09 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=00951137{\&}id=doi:10.1128{\%}2FJCM.00954-09{\&}atitle=First+detection+of+an+in,48,2010,6,"From Duplicate 1 (First detection of an invasive Staphylococcus aureus strain (D958) with reduced susceptibility to glycopeptides in Saudi Arabia - Al-Obeid, S; Haddad, Q; Cherkaoui, A; Schrenzel, J; Francois, P)

1098-660x
Al-Obeid, S
Haddad, Q
Cherkaoui, A
Schrenzel, J
Francois, P
Case Reports
Journal Article
United States
J Clin Microbiol. 2010 Jun;48(6):2199-204. doi: 10.1128/JCM.00954-09. Epub 2010 Apr 14.",10.1128/jcm.00954-09,4/16/2010,eng,20392906,YES,Allison,NO,Erica,Mushtaq,Zach,yes,,
480,MAYBE,Aldridge2013,Article,NA,G Aldridge and C Collins and M Croucher,"0004-8674
1440-1614",Australian and New Zealand Journal of Psychiatry,"C reactive protein,aged,akathisia,allergic pneumonitis,anamnesis,antibiotic agent,atrial fibrillation,brain natriuretic peptide,case report,clozapine,computed tomographic angiography,congestive heart failure,dermadrome,drug blood level,drug dose reduction,drug dose titration,drug hypersensitivity,drug induced disease,drug withdrawal,dyspnea,echocardiography,electrocardiography,eosinophilia,extrapyramidal symptom,fever,heart atrium flutter,heart failure,heart left ventricle function,heart murmur,human,hypotension,interstitial lung disease,interstitial pneumonia,letter,lung alveolitis,lung angiography,lung infiltrate,male,mitral valve regurgitation,myocarditis,necrotizing arteritis,neuroleptic agent,neutrophil cytoplasmic antibody,neutrophilia,occasional vasculitis,peripheral edema,pleura effusion,pneumonia,proteinase inhibitor,quetiapine,risperidone,schizophrenia,small vessel vasculitis,tachycardia,thorax radiography,unsteady gait,vasculitis",1215--1216,{Clozapine-induced pneumonitis},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L370392764 http://dx.doi.org/10.1177/0004867413502095 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=00048674{\&}id=doi:10.1177{\%}2F0004867413502095{\&}atitle=Clozapine-induce,47,2013,12,NA,NA,NA,NA,NA,MAYBE,Brooke,NO,Nchedo,Allison,Zach,yes,,
593,MAYBE,Almuzara2009,Article,NA,M N Almuzara and R Cittadini and P J Ladelfa and L Olivieri and M S Ramirez and C Zamponi and A M R Famiglietti and C A Vay,0196-4399,Clinical Microbiology Newsletter,"Citrobacter freundii,Dysgonomonas capnocytophagoides,Dysgonomonas gadei,Enterobacter cloacae,Escherichia coli,Gram negative bacterium,Gram negative infection,Gram positive infection,Staphylococcus aureus,Staphylococcus epidermidis,adult,amikacin,amoxicillin,amoxicillin plus clavulanic acid,antibiotic resistance,antibiotic sensitivity,article,bacteremia,bacterium identification,balloon dilatation,blood culture,carbapenem derivative,case report,ceftazidime,ceftriaxone,chill,cholestasis,ciprofloxacin,clinical feature,cotrimoxazole,disease association,drug response,ertapenem,fever,gene sequence,gentamicin,hemodialysis,hepatobiliary system,human,imipenem,leukocytosis,levofloxacin,male,minimum inhibitory concentration,minocycline,nucleotide sequence,penicillin G,percutaneous drainage,piperacillin,piperacillin plus tazobactam,protein blood level,rifampicin,sepsis,sequence analysis,sultamicillin,vancomycin,vascular access",99--102,{Bacteremia Caused by Dysgonomonas spp.: a Report of Two Cases},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L354728035 http://dx.doi.org/10.1016/j.clinmicnews.2009.06.002 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=01964399{\&}id=doi:10.1016{\%}2Fj.clinmicnews.2009.06.002{\&}atitl,31,2009,13,NA,NA,NA,NA,NA,YES,Allison,NO,Erica,Mushtaq,Zach,yes,,
595,MAYBE,Almuzara2007,Article,NA,M Almuzara and M Radice and N {De Gárate} and A Kossman and A Cuirolo and G Santella and A Famiglietti and G Gutkind and V Vay,"1080-6040
1080-6059",Emerging Infectious Diseases,"Argentina,Gram negative infection,Pseudomonas putida,amikacin,aminoglycoside,antibiotic resistance,antibiotic sensitivity,aztreonam,bacterium isolate,beta lactam,carbapenem derivative,cefepime,ceftazidime,cephalosporin,ciprofloxacin,colistin,doxycycline,ertapenem,gatifloxacin,gene sequence,gentamicin,human,imipenem,immunocompromised patient,letter,levofloxacin,meropenem,moxifloxacin,nonhuman,piperacillin,piperacillin plus tazobactam,pneumonia,quinolone derivative,urinary tract infection",668--669,"{VIM-2-producing Pseudomonas putida, Buenos Aires [14]}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L46525135 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=10806040{\&}id=doi:{\&}atitle=VIM-2-producing+Pseudomonas+putida{\%}2C+Buenos+Aires+{\%}5B14{\%}5D{\&}stitle=Emerg.+Infect.+Dis.,13,2007,4,NA,NA,NA,NA,NA,MAYBE,Brooke,MAYBE,Erica,Erica,Zach,yes,,
598,MAYBE,Almyroudis2011,Article,"OBJECTIVE: To study the molecular epidemiology of vancomycin-resistant Enterococcus (VRE) colonization and to identify modifiable risk factors among patients with hematologic malignancies. SETTING: A hematology-oncology unit with high prevalence of VRE colonization. PARTICIPANTS: Patients with hematologic malignancies and hematopoietic stem cell transplantation recipients admitted to the hospital. METHODS: Patients underwent weekly surveillance by means of perianal swabs for VRE colonization and, if colonized, were placed in contact isolation. We studied the molecular epidemiology in fecal and blood isolates by pulsed-field gel electrophoresis over a 1-year period. We performed a retrospective case-control study over a 3-year period. Cases were defined as patients colonized by VRE, and controls were defined as patients negative for VRE colonization. Case patients and control patients were matched by admitting service and length of observation time. RESULTS: Molecular genotyping demonstrated the primarily polyclonal nature of VRE isolates. Colonization occurred at a median of 14 days. Colonized patients were characterized by longer hospital admissions. Previous use of ceftazidime was associated with VRE colonization (P {\textless} .001), while use of intravenous vancomycin and antibiotics with anaerobic activity did not emerge as a risk factor. There was no association with neutropenia or presence of colonic mucosal disruption, and severity of illness was similar in both groups. CONCLUSION: Molecular studies showed that in the majority of VRE-colonized patients the strains were unique, arguing that VRE acquisition was sporadic rather than resulting from a common source of transmission. Patient-specific factors, including prior antibiotic exposure, rather than breaches in infection control likely predict for risk of fecal VRE colonization.",N G Almyroudis and A J Lesse and T Hahn and G Samonis and P A Hazamy and K Wongkittiroch and E S Wang and P L {McCarthy Jr.} and M Wetzler and B H Segal and P L McCarthy and M Wetzler and B H Segal,0899-823x,Infection Control and Hospital Epidemiology,",*Vancomycin Resistance,80 and over,Adolescent,Adult,Aged,Anti-Bacterial Agents/therapeutic use,Bacterial/analysis,Case-Control Studies,Child,Cross Infection/*complications/*epidemiology/trans,DNA,Electrophoresis,Enterococcus/*genetics/isolation {\&} purification,Female,Gel,Genotype,Gram-Positive Bacterial,Hematologic Neoplasms/*complications,Hodgkin disease,Humans,Infections/complications/*epidemiology/microbiolog,Length of Stay,Male,Middle Aged,Molecular Epidemiology,Preschool,Pulsed-Field,Retrospective Studies,Risk Factors,Young Adult,acute lymphoblastic leukemia,acute myeloblastic leukemia,adolescent,adult,aged,anaerobic capacity,article,bacteremia,bacterial colonization,bacterium isolate,blood analysis,case control study,catheter infection,ceftazidime,child,chronic lymphatic leukemia,chronic myeloid leukemia,clindamycin,clinical article,clinical observation,controlled study,diarrhea,disease course,disease surveillance,febrile neutropenia,feces analysis,female,graft recipient,hematologic malignancy,hematopoietic stem cell transplantation,hospital admission,human,imipenem,length of stay,leukocyte count,leukopenia,liquid feces,male,meropenem,metronidazole,molecular epidemiology,multiple myeloma,myelodysplastic syndrome,myeloproliferative disorder,neutropenia,neutrophil count,nonhodgkin lymphoma,nonhuman,piperacillin plus tazobactam,preschool child,prevalence,pulsed field gel electrophoresis,retrospective study,risk factor,school child,tobramycin,treatment outcome,vancomycin,vancomycin resistant Enterococcus",490--496,{Molecular epidemiology and risk factors for colonization by vancomycin-resistant Enterococcus in patients with hematologic malignancies},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L361687704 http://dx.doi.org/10.1086/659408 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=0899823X{\&}id=doi:10.1086{\%}2F659408{\&}atitle=Molecular+epidemiology+and+risk+fact,32,2011,5,"From Duplicate 2 (Molecular epidemiology and risk factors for colonization by vancomycin-resistant Enterococcus in patients with hematologic malignancies - Almyroudis, N G; Lesse, A J; Hahn, T; Samonis, G; Hazamy, P A; Wongkittiroch, K; Wang, E S; McCarthy Jr., P L; Wetzler, M; Segal, B H)

1559-6834
Almyroudis, N G
Lesse, A J
Hahn, T
Samonis, G
Hazamy, P A
Wongkittiroch, K
Wang, E S
McCarthy, P L Jr
Wetzler, M
Segal, B H
Journal Article
United States
Infect Control Hosp Epidemiol. 2011 May;32(5):490-6. doi: 10.1086/659408.",10.1086/659408,4/26/2011,eng,21515980,YES,Allison,MAYBE,Nchedo,Nchedo,Zach,yes,,
