study_id,segment,code_main_cat,code_main,code_identifiers
10024,we present a case of mrsa subhepatic abscess in a neonate colonized with nasal mrsa who initially presented with pylorospasm,exclusion,not clinical case in human patient,NA
10036,the percentage of patients with daptomycinresistant vre bacteremia increased from 3.4% in 2007 to 15.2% in 2009 (p = .03).,exclusion, not first case in country,NA
1004,"xdr-tb accounts for 9% of mdr-tb cases worldwide,2 and since 2005 there have been 20 cases reported to public health england.3",exclusion, not first case in country,NA
10049,we report the first isolation of imp-4-producing a. pittii st119 with a novel blaoxa-421 gene from a patient in australia and characterize its draft genome.,exclusion, not first case in country,NA
10064,we document the second report of daptomycin resistance in a clinical isolate of enterococcus faecalis,exclusion, not first case in country,NA
10064,the present report is the second to document elevated daptomycin resistance in a clinical isolate of enterococcus faecalis [7],exclusion, not first case in country,NA
10064,the present report is the second to document elevated daptomycin resistance in a clinical isolate of enterococcus faecalis [7],NA,references for follow up,NA
10064,"[7] munoz-price ls, lolans k, quinn jp. emergence of resistance to daptomycin during treatment of vancomycinresistant enterococcus faecalis infection. clin infect dis 2005;41:5656",NA,references for follow up,NA
10079,"in finland, occurrence of  klebsiella pneumoniae  carbapenemase-producing  k. pneumoniae  (kpc-kp) has  previously been sporadic and related to travel.",exclusion, not first case in country,NA
10082,persistent methicillin-resistant staphylococcus  aureus bacteremia: do we need a new therapeutic  strategy? cheol-in kan,exclusion,not clinical case in human patient,NA
10117,this is a first ever reported  case of secondary bacterial infection due to roseomonas genomospecies 6 in a patient of pulmonary tuberculosis from  the indian subcontinent.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
10127,"this study was planned to determine profile of bacterial isolates and their antibiotic  resistance pattern among pediatric cancer patients. design: it was a retrospective, single institutional study",exclusion, not first case in country,NA
10142,"aim: to examine the molecular characteristics of, and risk factors for nosocomial colonization with, carbapenem-resistant gram-negative bacilli (cr-gnb) in hospitalized paediatric patients in a tertiary university hospital’s paediatric units in turkey",exclusion, not first case in country,NA
10144,resistant,exclusion,not clinical case in human patient,NA
10144,resistant,exclusion, not first case in country,NA
10152,mergence,exclusion, not full text article,NA
10181,is multiresistant klebsiella pneumoniae new delhi metallo-beta-lactamase (ndm-1) a new threat for kidney transplant recipients?,exclusion,did not name location of case,NA
10201,correspondence,exclusion,not clinical case in human patient,NA
1021,"we found a high prevalence of resistance towards the drugs used as “first-line” when treating utis: ampicillin, cotrimoxazole, and ciprofloxacin (79%, 60%, and 24% resistance, respectively)",exclusion, not first case in country,NA
10330,"we found that the outbreak of cdad in a maine community hospital was the result of nosocomial transmission of a more virulent, fluoroquinolone-resistant epidemic strain of c difficile. this strain has been recently reported to cause outbreaks in several acute care hospitals in the united states and to be associated with particularly severe disease",exclusion, not first case in country,NA
10439,"syphilis epidemiology in 1994–2013, molecular epidemiological strain typing and determination of macrolide resistance in treponema pallidum in 2013–2014 in tuva republic, russia",exclusion, not first case in country,NA
1045,"this is the first report of an esbl-producing, shiga toxin-positive e. coli of serogroup o91. our data suggest a high propensity of the inci1-st31 plasmid to spread in the human and/or animal population.",exclusion, not first case in country,NA
10460,dissemination and spread of new delhi metallo-beta-lactamase-1 superbugs in hospital settings,exclusion,review article,NA
10513,"to our knowledge, there is only 1 prior case of thoracic empyema caused by h. parainfluenzae. we report a second such case of a woman who developed a thoracic empyema due to h. parainfluenzae, although on methotrexate.",exclusion, no resistance or did not name antibiotic/antibiotic,NA
10521,"in japan, the new york/japan clone (ha-mrsa) has also been spreading in the community, among healthy children and pediatric outpatients,17 and even on public transport18; however, the association of this new york/japan clone (nasal or public transport mrsa) with diseases in the community has not been reported",exclusion, not first case in country,NA
10533,dear editor,exclusion, not full text article,NA
10555,"we used in vivo tests involving treating mice with doses higher than the equivalent used to treat trypanosomiasis in the field, the end point indicator of resistance.",exclusion,not clinical case in human patient,NA
10558,mrsa-associated lemierre’s syndrome in an intravenous drug user,exclusion, not first case in country,NA
10560,"letters emerging infectious diseases • www.cdc.gov/eid • vol. 20, no. 9, september 2014  1583",exclusion, not full text article,NA
10569,"resistance of a. xylosoxidans to multiple antibiotics, especially aminoglycosides, first-generation cephalosporins, and fluoroquinolones, has been reported.",exclusion, not first case in country,NA
10654,correspondence,exclusion, not full text article,NA
10663,letters,exclusion, not full text article,NA
10668,an,exclusion,not clinical case in human patient,NA
10690,first,exclusion,not clinical case in human patient,NA
10691,poster presentation,exclusion, not full text article,NA
10699,we herein describe the first reported case of a brain abscess and subdural abscess caused by visa in japan.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
10743,emergence of a novel multidrug-resistant pseudomonas aeruginosa strain producing imp-type metallo--lactamases and aac(6 )-iae in japan,exclusion, not first case in country,NA
10823,we report the first case of st30mrsa-iv infection in a korean traveler returning from the philippines.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
10825,increasing extended-spectrum b-lactamase production and quinolone resistance among gram-negative bacilli causing intra-abdominal infections in the asia/pacific region: data from the smart study 2002e2006,exclusion, not first case in country,NA
10843,"c. gilardii has intrinsic resistance to many antimicrobial agents. in past reports and the present case, the isolates were often resistant to aztreonam, meropenem, gentamicin, and tobramycin. on the other hand, they were often susceptible to trimethoprim-sulfamethoxazole and tetracycline [5–7]",exclusion, not first case in country,NA
10859,identification,exclusion,not clinical case in human patient,NA
10860,"to our best knowledge, this is the first report that strongly supports the transmission of blakpc-3 from st512 k. pneumoniae to e. coli st43 in a single patient, a phenomenon of both clinical and microbiological importance.",exclusion, not first case in country,NA
10886,resistant,exclusion,review article,NA
10892,"we present a rare case of multidrug resistance central nervous system (mdr cns) tuberculosis, with an unusual  mechanism of spread.",exclusion, not first case in country,NA
10894,a. indonesiensis,bacteria,binomial (genus species),NA
10894,acetobacter indonesiensis  bacteremia in child  with metachromatic  leukodystrophy,exclusion, no resistance or did not name antibiotic/antibiotic,NA
10894,9,patient,age,NA
10894,girl,patient,sex,NA
10894,marienhospital herne,location,hospital name,NA
10894,herne,location,city,NA
10894,germany,location,country,NA
10894,february,NA,event month,NA
10894,9,NA,event day,NA
10894,2015,NA,event year,NA
10902,highly,exclusion,review article,NA
11,antimicrobial resistance profile,exclusion,not clinical case in human patient,NA
11008,molecular and epidemiologic characteristics of linezolid-resistant,exclusion,not clinical case in human patient,NA
1101,letters,exclusion, not full text article,NA
11023,we examined the prevalence and mechanisms of rifaximin resistance in 62 strains of e. coli isolated from the ileal mucosa of 50 patients,exclusion, not first case in country,NA
11102,antimicrobial susceptibility testing,exclusion, not full text article,NA
11137,abstract,exclusion, not full text article,NA
11153,table 1,exclusion, no resistance or did not name antibiotic/antibiotic,NA
11158,increasing prevalence from 1.3%  (2006) to 2.5% (2008) shows emergence of mrsa st398  in humans in austria.,exclusion, not first case in country,NA
11163,"m. tuberculosis strain um 1072388579 was isolated from sputum of a 57 year-old man in the mycobacteriology laboratory, university malaya medical centre, kuala lumpur, malaysia. culture of the clinical isolate was performed using a bactec mgit 960 culture system (becton dickinson) as described in the previous study [20].",NA,references for follow up,NA
11163,"20. ng kp, rukumani dv, chong j, kaur h. identification of mycobacterium species following growth detection with the bactec mgit 960 system by dna line probe assay. the international journal of mycobacteriology. 2014; 3(2): 82–7.",NA,references for follow up,NA
11163,genome analysis of the first extensively drug-resistant (xdr) mycobacterium tuberculosis in malaysia provides insights into the genetic basis of its biology and drug resistance,exclusion, no resistance or did not name antibiotic/antibiotic,NA
11169,w,exclusion,not clinical case in human patient,NA
11179,escherichia coli sequence type 131 as a prominent cause of antibiotic resistance among urinary escherichia coli isolates from reproductiveage women,exclusion,review article,NA
11199,mutations,exclusion,not clinical case in human patient,NA
11233,"c freundii isolates have recently been reported to express resistance to anti-pseudomonal penicillins, first, second and third generation cephalosporins, gentamicin, tobramycin and aztreonam.5 cefepime, cefpirome, imipenem and meropenem remained the most active agents against c freundii. 6",exclusion, not first case in country,NA
11237,resistant,exclusion,not clinical case in human patient,NA
11249,em,exclusion,not clinical case in human patient,NA
11326,a retrospective chart review of patients one to 18 years of age who were admitted to kingston general hospital with a discharge diagnosis of urinary tract infection between 2002 and early 2006 was undertaken.,exclusion, not first case in country,NA
11328,campylobacter volucris,bacteria,binomial (genus species),NA
11328,75,patient,age,NA
11328,male,patient,sex,NA
11328,chung-ang university hospital,location,hospital name,NA
11328,abdominal discomfort,patient,symptoms/disease,NA
11328,polycythemia vera,patient,comorbidities,NA
11328,alcoholic liver cirrhosis,patient,comorbidities,NA
11328,first case,exclusion, no resistance or did not name antibiotic/antibiotic,NA
11344,emerging carbapenema,exclusion, not full text article,NA
11356,letter to the editor,exclusion, not full text article,NA
11367,letters to the editor,exclusion, not full text article,NA
11368,"this report describes an outbreak of clostridium difficile infection (cdi) in a nephrology ward in 2012, caused by the fluoroquinoloneand clindamycin-resistant polymerase chain reaction (pcr) ribotype 027 strains.",exclusion, not first case in country,NA
11382,"ince its first description in 2003 in a klebsiella pneumoniae isolate from turkey,17 oxa-48 has been reported in several european countries as well as in north africa (morocco, tunisia, and egypt) and senegal.",exclusion, not first case in country,NA
11411,soniazid-r,exclusion, not full text article,NA
11465,"the results confirm previously reported data; in particular, they show an increase the isolation of non-fermentative gram-negative bacteria in cystic fibrosis patients. they also demonstrate increased resistance to antibiotics.",exclusion, not first case in country,NA
1148,the recurrence or failure rate after fusidic acid/rifampicin treatment remains low (<10%). we discuss here a case of antibiotic treatment failure for staphylococcus aureus bone infection with in vivo selection of rifampicin and fusidic acid resistance.,exclusion, not first case in country,NA
1148,we also report a new mutation in fusa gene involved in fusidic acid resistance,NA,notes,NA
11500,radiology page,exclusion, not full text article,NA
11530,letters,exclusion, not full text article,NA
11556,increasing prevalence and dissemination of ndm-1 metallo-blactamase in india: data from the smart study (2009),exclusion, not first case in country,NA
11557,a plasmid-b,exclusion,not clinical case in human patient,NA
11591,catabacter hongkongensis,bacteria,binomial (genus species),NA
11591,"in this study, we report the isolation and characterization of four bacterial isolates from the blood cultures of four patients.",NA,article/study aim,NA
11591,"we propose a novel genus and species, catabacter hongkongensis gen. nov., sp. nov., to describe this bacterium.",NA,article/study aim,NA
11591,"catabacter hongkongensis gen. nov., sp. nov., isolated from blood cultures of patients from hong kong and canad",exclusion,did not name antibiotic or antibiotic combo used,NA
11609,dispatches,exclusion, not full text article,NA
11621,letter to the editor,exclusion, not full text article,NA
1165,e explored the current estimates of drug-resistant tb and evaluated the usefulness of genotypic dst in myanmar.,exclusion, not first case in country,NA
11669,letters to the editor,exclusion, not full text article,NA
11696,"of special concern are organisms that produce k. pneumoniae carbapenemase (kpc)-type beta lactamase. the occurrence of carbapenem resistance mediated by kpc production is increasing and is widespread in several regions around the world [2–5], including brazil [6–9].",exclusion, not first case in country,NA
11700,"to our knowledge, this is the first reported case of nocardia pseudobrasiliensis in an allogeneic hsct recipient. van burik et al. (24) retrospectively reported 25 cases of nocardiosis among 6,759 hsct recipients that included 4,570 allogeneic hsct recipients.",exclusion, not first case in country,NA
11730,our report demonstrated that the development of cefuroxime resistance in a k. pneumoniae strain after a 3 week exposure to this antibiotic might be associated with the depletion of ompk35,exclusion, not first case in country,NA
11733,table 1. results of antibiotic susceptibility testing against the mycobacterium alvei isolate,exclusion, no resistance or did not name antibiotic/antibiotic,NA
11734,first isolation of ciprofloxacin-resistant salmonella en,exclusion,not clinical case in human patient,NA
11737,abstracts,exclusion, not full text article,NA
11741,"antimicrobial activity of mupirocin, daptomycin, linezolid, quinupristin/ dalfopristin and tigecycline against vancomycin-resistant enterococci (vre)  from clinical isolates in korea (1998 and 2005)",exclusion, not first case in country,NA
1175,"to determine the incidence, risk factors, etiology, and antibiotic susceptibility of hospital-acquired pneumonia (hap) in nonintensive care units (non-icu) and nonintubated adult patients.",exclusion, not first case in country,NA
11757,"in this hospital-based study, a. baumannii st455 accounted for 38.5% of irab bacteremia, with a high mortality of 86.7%",exclusion, not first case in country,NA
11793,community-acquired methicillin-resistant,exclusion, not first case in country,NA
11800,we  report a case of m. arupense tenosynovitis in a patient,exclusion, not first case in country,NA
11800,"and all isolates were resistant to ciprofloxacin, linezolid, moxifloxacin, rifampicin, and streptomycin. although the optimal therapy for m. arupense is not well established in the literature, a multiple antibiotic regimen including  clarithromycin and ethambutol is a useful initial approach to  manage these patients",NA,notes,NA
11820,23,patient,age,NA
11820,cottingham,location,city,NA
11820,uk,location,country,NA
11820,uk,patient,country of residence,NA
11820,her,patient,sex,NA
11820,well,patient,outcome,NA
11820,mycobacterium tuberculosis,bacteria,binomial (genus species),NA
11820,soniaz,exclusion, no resistance or did not name antibiotic/antibiotic,NA
11827,"in a study conducted in taiwan, the prevalence of mrsa among isolates of s. aureus was reported to have increased from 39% in 1991 to 75% in 2003,",exclusion, not first case in country,NA
11829,an strain mp14 were obtained from the ncbi database. strain mp14 could be compared among strains isolated in different countries or at different times by whole genome sequences and various information of strain could be analyzed. the strain mp14 carried several antimicrobial resistance genes for different antibiotic,exclusion, not first case in country,NA
11842,letters,exclusion, not full text article,NA
11875,prevalence of emm t,exclusion,review article,NA
11884,we report the first case of intrafamily transmission of a c-mrsa clone harbouring toxic shock syndrome toxin-1 (tsst-1),exclusion, no resistance or did not name antibiotic/antibiotic,NA
11888,the first description of a kpc producer was a kpc-2 k. pneumoniae isolate in the urine and sputum samples of a patient transferred from sicily (italy) to neuchaˆtel (switzerland) in 2011,exclusion, not first case in country,NA
11888,the first description of a kpc producer was a kpc-2 k. pneumoniae isolate in the urine and sputum samples of a patient transferred from sicily (italy) to neuchaˆtel (switzerland) in 2011,NA,references for follow up,NA
11888,"8. poirel l, lienhard r, potron a, malinverni r, siegrist hh, nordmann p. plasmid-mediated carbapenem-hydrolysing b-lactamase kpc-2 in a klebsiella pneumoniae isolate from switzerland. j antimicrob chemother. 2011;66:675–6",NA,references for follow up,NA
11944,methicillin-resistant staphylococcus aureus suppurative thyroiditis with thyrotoxicosis,exclusion, not full text article,NA
11965,correspondence,exclusion, not full text article,NA
12020,new d,exclusion, not full text article,NA
12055,"the cmrsa7/usa400 epidemic clone has been reported to be the predominate epidemic clone in several canadian provinces and some parts of the united states. this study examined the epidemiology of cmrsa7/usa400 mrsa in alberta, canada, from june 2005 to december 2012.",exclusion, not first case in country,NA
12081,44,patient,age,NA
12081,woman,patient,sex,NA
12081,completed,patient,outcome,NA
12081,methicillin,NA,drug resisted,NA
12081,methicillin-resistant staphylococcus  aureus laryngi,exclusion, not first case in country,NA
12082,the first,exclusion, not first case in country,NA
12096,to distinguish neisseria gonorrhoeae isolates in shanghai by porb typing; (ii) to ascertain the congruence of porb dna sequence typing with cases linked epidemiologically; (iii) to determine the association of specific porb mutations with antimicrobial resistance to penicillin or tetracycline,exclusion, not first case in country,NA
12097,genome announcemen,exclusion, not full text article,NA
12108,research letters,exclusion, not full text article,NA
12113,short communication,exclusion, not full text article,NA
12222,"in the united states, the current rate of macrolide resistance is approximately 2% in human c. jejuni isolates and has fluctuated from 0.6% to 5% since 1998 (6, 9)",exclusion, not first case in country,NA
12277,"notably, the first report regarding the outbreak of blaoxa-23-carrying crab in a chinese hospital was recorded in 2003 [26].",NA,references for follow up,a
12277,"the emergence and spread of blaoxa-23,-24/40,-58 crab in asiapacific nations was identified between 2006 and 2007 [6].",NA,references for follow up,c
12277,"[6] mendes re, bell jm, turnidge jd, castanheira m, jones rn. emergence and widespread dissemination of oxa-23, -24/40 and -58 carbapenemases among acinetobacter spp. in asia-pacific nations: report from the sentry surveillance program. j antimicrob chemother 2009;63:55–9",NA,references for follow up,c
12277,"[26] zhou h, pi br, yang q, yu ys, chen yg, li lj, et al. dissemination of imipenemresistant acinetobacter baumannii strains carrying the isaba1 blaoxa-23 genes in a chinese hospital. j med microbiol 2007;56:1076–80",NA,references for follow up,a
12277,"in taiwan, the first report noting the occurrence of blaoxa-23-carrying crab was documented at the ntuh hsin-chu branch in 2006 [8].",NA,references for follow up,b
12277,"[8] linmf,kuo hy,yeh hw,yang cm, sung ch, tu cc, et al. emergence and dissemination of blaoxa-23-carrying imipenem-resistant acinetobacter sp. in a re",NA,references for follow up,b
12277,"in this paper, we retrospectively analysed the prevalence of crab and blaoxa-23-carrying crab in this hospital between 2005 and 2008.",exclusion, not first case in country,NA
12291,we also observed three cases of m. leprae strains with mutidrug resistance;,exclusion, no resistance or did not name antibiotic/antibiotic,NA
12291,this is the first report of primary multidrugresistant m. leprae in china.,NA,notes,NA
12347,acquis,exclusion,not clinical case in human patient,NA
12351,"in chinese hospitals there is an ongoing epidemic of k. pneumoniae clonal strains, predominantly sequence type (st)11, harbouring class a (kpc) and/or class b (mbls) carbapenemases [2].",exclusion, not first case in country,NA
12401,isolation,exclusion,not clinical case in human patient,NA
12446,perspective,exclusion, not full text article,NA
12503,first,exclusion, not first case in country,NA
12519,first,exclusion,not clinical case in human patient,NA
12527,the rate and severity of clostridium difficile infection (cdi) have been linked to the emergence and spread of the hypervirulent toxigenic strain nap1/027.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
12527,this is the first report of the nap1 strain in panama.,exclusion, no resistance or did not name antibiotic/antibiotic,NA
12560,evaluation of a new chromogenic medium for isolation and presumptive identification of methicillin-resistant staphylococcus aureus from human clinical specimens,exclusion, not first case in country,NA
12573,to the editor,exclusion, not full text article,NA
12579,scientific letter,exclusion, not full text article,NA
12579,here we report the first laboratory-confirmed case of  ndm-1 in south africa.,NA,notes,NA
12580,invited commentary,exclusion, not full text article,NA
12585,"since its first detection in 2005 (voss et al. 2005), the number of human infections caused by mrsa st398 has been increasing steadily",exclusion, not first case in country,NA
12586,letters,exclusion, not full text article,NA
12601,high frequency,exclusion, not first case in country,NA
12646,"this study has used a combination of clinical information, spoligotyping, and georeferencing system to elucidate the genetic diversity of the mycobacterium tuberculosis isolates circulating in a tb-prevalent municipality of northeast brazil",exclusion, not first case in country,NA
12657,vancomycin-intermediate,exclusion, no resistance or did not name antibiotic/antibiotic,NA
12659,th,exclusion,review article,NA
12663,tuberculosis,exclusion,review article,NA
12672,"in the present study, 10 azithromycin-resistant neisseria gonorrhoeae isolates from 6 swedish male patients in 2004, 3 sporadic swedish azithromycin-resistant n. gonorrhoeae isolates from recent years and one swedish n. gonorrhoeae isolate from 2003 that was susceptible to azithromycin but assigned the same serological variant (serovar), i.e. ib-37, as the isolates from 2004 were included.",exclusion, not first case in country,NA
12672,the epidemiological information and the results of the thorough phenotypic characterisation and genetic characterisation identified the first presumed domestic transmission of one azithromycin-resistant n. gonorrhoeae strain in sweden in 2004.,exclusion, not first case in country,NA
12677,"his study showed the impact of oxa-48-like carbapenemases in porin-defective clinical isolate background,",exclusion, not first case in country,NA
12722,research letters,exclusion, not full text article,NA
12735,"between may and december 2005, 64 multidrug-resistant isolates of klebsiella pneumoniae were detected from patients admitted to uppsala university hospital. this represented a dramatic increase in esbl-producing k. pneumoniae compared to previous years.",exclusion, not first case in country,NA
12753,letter to the editor,exclusion, not full text article,NA
12754,: the importance of multidrug-resistant organisms (mdro) in chinese hospitals is not clearly delineated. thus we sought to assess the prevalence of mdro in chinese intensive care units (icus).,exclusion, not first case in country,NA
12853,"we examined the frequency of isolation and the antimicrobial resistance of burkholderia cepacia complex, stenotrophomonas maltophilia and achromobacter xylosoxidans in cystic fibrosis patients from 2000 to 2004. strains susceptibility to tobramycin, piperacillin/tazobactam, imipenem, gentamicin, ciprofloxacin and ceftazidime was determined by disc diffusion assay. b.cepacia complex showed a very high resistance also to ciprofloxacin reaching 100% in 2004. s.maltophilia and a.xylosoxidans showed high rates of antimicrobial resistance both aminoglycoside and ciprofloxacin",exclusion, not first case in country,NA
12875,correspondence,exclusion, not full text article,NA
12888,brief communication,exclusion, not full text article,NA
12995,letters,exclusion, not full text article,NA
13001,letter to the editor,exclusion, not full text article,NA
13013,case report,exclusion, not full text article,NA
13014,resistance,exclusion, not full text article,NA
13019,": antibiotic resistance pattern and r-plasmid of salmonella enterica serovar paratyphi a isolates from kolkata, india are not well documented. aims: to determine the trend of antibiotic resistance of s. paratyphi a isolates. settings and design: a retrospective study was carried out using blood culture isolates of s. paratyphi a (1991 to 2005) obtained from patients of enteric fever from asansol and kolkata and its suburbs (india).",exclusion, not first case in country,NA
13034,cryptococcus laurentii,exclusion,non-bacterial pathogen (e.g. viral),NA
13034,cryptococcus neoformans,exclusion,non-bacterial pathogen (e.g. viral),NA
13087,"we have recently performed an epidemiological survey on carbapenem-resistant a. baumannii isolates recovered from october 2001 to september 2005 at the university hospital sahloul from sousse, tunisia, and we have showed the spread of oxa-97 (a point mutant derivative of oxa-58)– producing isolates",exclusion, not first case in country,NA
13136,vancomycinrezisztens,exclusion,not clinical case in human patient,NA
13148,carbapenem-resistant klebsiella pneumoniae has spread worldwide and throughout the united states. colistin is used extensively to treat infections with this organism.,exclusion, not first case in country,NA
13177,brief communication,exclusion,review article,NA
13198,case report,exclusion, not full text article,NA
13208,first identification of kpc-2 and vim-1 producing klebsiella pneumoniae in bulgaria,exclusion, not full text article,NA
13263,research notes,exclusion, not full text article,NA
13285,"in venezuela, enterobacter strains producing esbls, mbl and kpc have been reported (2-5)",exclusion, not first case in country,NA
13363,research letter,exclusion, not full text article,NA
13401,"we showed an apparently healthy child with recurrent bacteremia caused by the same s. pneumococcus strain, approximately 4.5 months after the first episode was treated with sensitive antibiotics for 7 days.",exclusion, no resistance or did not name antibiotic/antibiotic,NA
13409,a case,exclusion, not first case in country,NA
13416,"indeed, cfxa3type-β-lactamase-producing strains have already been described and are well known as gene-encoded β-lactamase.",exclusion, not first case in country,NA
13453,description,exclusion, not first case in country,NA
13493,posters,exclusion, not full text article,NA
1354,"we did a large-scale, cross-sectional genomic epidemiological study of shigellosis cases collected from 29 countries between december, 1995, and june 8, 2014",exclusion, not first case in country,NA
13552,"plasmid-mediated clindamycin, mupirocin, and/or tetracycline resistance has been observed among usa300 isolates, but these descriptions were limited to specific patient populations or isolated occurrences. we examined the antimicrobial susceptibilities of invasive mrsa isolates from a national surveillance population in order to identify usa300 isolates with unusual, possibly emerging, plasmid-mediated antimicrobial resistance.",exclusion, not first case in country,NA
13553,draft g,exclusion,not clinical case in human patient,NA
13565,detection of qaca/b in clinical isolates of methicillin-resistant staphylococcus aureus from a regional healthcare network in the eastern united state,exclusion,not clinical case in human patient,NA
13566,a carbapenem-resistant alcaligenes faecalis strain was isolated from a surveillance swab of a service member injured in afghanistan.,exclusion, not first case in country,NA
13567,letter to the editor,exclusion, not full text article,NA
1359,characterization of,exclusion,review article,NA
1361,emergence of colistinand carbapenem-resistant acinetobacter baumannii st2 clinical isolate in algeria: first case report,exclusion,not clinical case in human patient,NA
1362,"the aim of the present study was to characterize the molecular support of resistance to carbapenems, aminoglycosides and fluoroquinolones in carbapenem-resistant acinetobacter baumannii clinical isolates recovered between january 2011 and april 2013 from algerian hospitals.",exclusion, not first case in country,NA
