,links,title
557,www.promedmail.org/post/1912302," Bacterioides fragilis - USA: (WA) ex India susp, multidrug resistance"
832,www.promedmail.org/post/1041303, Melioidosis - Australia (02): (NT)
261,www.promedmail.org/post/1184441,"Acinetobacter - Chile: (Santiago) burn unit, drug-resistant"
895,www.promedmail.org/post/1856257,"Acinetobacter - USA: (FL) burn unit, multidrug-resistance"
618,www.promedmail.org/post/2203661,"Acinetobacter, drug resistant - Iraq (02)"
1040,www.promedmail.org/post/2205974,"Acinetobacter, drug resistant - USA ex Iraq: alert"
639,www.promedmail.org/post/2206895,"Acinetobacter, drug resistant - USA military"
728,www.promedmail.org/post/274433,"Acinetobacter, resistant - Canada: (QC) ex Afghanistan"
1131,www.promedmail.org/post/518822,"Acinetobacter, resistant, fatal - Japan: (Tokyo) RFI"
582,www.promedmail.org/post/1910666,Announcements (06): ICAAC 2013 Online
562,www.promedmail.org/post/1190288,Anthrax - Germany (05)
590,www.promedmail.org/post/2200903,"Anthrax, human - USA (18)"
589,www.promedmail.org/post/2200897,"Anthrax, human - USA: antimicrobial suscept. (02)"
555,www.promedmail.org/post/2920336,Antibiotic resistance - Eastern Mediterranean
965,www.promedmail.org/post/2449567,Antibiotic resistance - India
989,www.promedmail.org/post/3012828,Antibiotic resistance - India (02)
1074,www.promedmail.org/post/2568937,Antibiotic resistance - new metallo-beta-lactamase (NDM-1) inhibitor
936,www.promedmail.org/post/2061191,"Antibiotic resistance - USA (02): vancomycin, comment"
865,www.promedmail.org/post/1360127,"Antibiotic resistance - USA: (IA) MRSA, wildlife"
962,www.promedmail.org/post/2442194,Antibiotic resistance - worldwide: WHO
584,www.promedmail.org/post/2197723,Antibiotic resistance &amp; agricultural uses - USA
396,www.promedmail.org/post/2195052,Antibiotic resistance trends - Europe
258,www.promedmail.org/post/2192164,"Antibiotic resistance, beta lactamase, Acinetobacter"
909,www.promedmail.org/post/2192281,"Antibiotic resistance, beta lactamase, Acinetobacter (02)"
856,www.promedmail.org/post/1300101,"Antibiotic resistance, Campylobacter: swine, environ. persistence"
542,www.promedmail.org/post/2192445,"Antibiotic resistance, gonococci - W. Pacific: 1996"
816,www.promedmail.org/post/9673,"Antibiotic resistance, N. gonorrheae - USA: fluoroquinolones"
524,www.promedmail.org/post/2193026,"Antibiotic resistance, Neisseria gonorrheae - USA"
1067,www.promedmail.org/post/2193462,"Antibiotic resistance, Neisseria gonorrheae - USA(02)"
547,www.promedmail.org/post/927831,"Antibiotic resistance, Neisseria gonorrhoeae - Austria: cefixime"
850,www.promedmail.org/post/1175801,"Antibiotic resistance, Neisseria gonorrhoeae - Slovenia: (Ljubljana)"
576,www.promedmail.org/post/2197085,"Antibiotic resistance, surveillance - Europe"
794,www.promedmail.org/post/753328,Antibiotic resistance: Neisseria gonorrhoeae - USA (CA) azithromycin
352,www.promedmail.org/post/3116245,"Antibiotic resistant Enterobacteriaceae: travelers, ESBLs, carbapenemases"
558,www.promedmail.org/post/2192970,"Antibiotics, agricultural use, CDC position - USA"
525,www.promedmail.org/post/2190443,"Antimicrobial drugs, WHO Consultation - Berlin, Oct. 1997"
970,www.promedmail.org/post/2204504,"Antimicrobial growth promoters, livestock - Denmark"
1149,www.promedmail.org/post/2008610,Antimicrobial resistance - Netherlands ex Egypt: family
955,www.promedmail.org/post/422517,Antimicrobial resistance monitoring - USA: 2007 report
294,www.promedmail.org/post/2190834,"Antimicrobial resistance transfer, animals to humans: RFI"
808,www.promedmail.org/post/2190838,"Antimicrobial resistance transfer, animals to humans: RFI"
810,www.promedmail.org/post/785608,"Antimicrobial resistance, human, animal - EU: EFSA/ECDC report"
598,www.promedmail.org/post/1950905,Antimicrobial resistant bacteria - USA: impact
755,www.promedmail.org/post/1175,Avian influenza - Asia (15): migratory birds
662,www.promedmail.org/post/5403,"Avian influenza - worldwide (87): Russia, Israel"
906,www.promedmail.org/post/1892436,"Avian influenza, human (109) China: H5N1 &amp; H7N9 emergence"
926,www.promedmail.org/post/2193147,"Bioterrorist threat, responses - Israel &amp; USA"
424,www.promedmail.org/post/3346,"Bovine tuberculosis, human - UK (England)"
