STUDY_ID,INCLUDE,X1,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,ROUND1INC,ROUND1REV,ROUND2INC,ROUND2REV,REVIEWERS,FT_REV,DOWNLOADED,REASON,NOTES
22750,MAYBE,Wu2006c,Article,"From February to June 2003, 111 clinical isolates of Proteus mirabilis were mainly isolated from patients with respiratory or urinary tract infections hospitalized at 3 district hospitals (A, B, C) in central Taiwan. Among them, 34 (30.6{\%}) strains, isolated within 2 hospitals (A and B), exhibited nonsusceptibility to cefotaxime with significant reduction of MIC ({\textgreater} or = 3 log2 dilution) by the effect of clavulanic acid, which confirmed the phenotype of extended-spectrum beta-lactamases (ESBLs). These ESBL producers were coresistant to gentamicin, isepamicin, and amikacin, but remained susceptible to ceftazidime (MIC, {\textless} or = 0.5 microg/mL) and meropenem (MIC, {\textless}0.5 microg/mL). By isoelectric focusing analysis, polymerase chain reaction, and nucleotide sequencing, we detected the presence of CTX-M-14 in 33 strains and CTX-M-3 in 6 strains (5 strains harboring both CTX-M-14 and CTX-M-3 enzymes). These beta-lactamase genes can be successfully transferred by the conjugative plasmid. Molecular epidemiology of the 34 ESBL-producing P. mirabilis strains by pulsed-field gel electrophoresis using SfiI restriction enzyme revealed 9 different genotypes, suggesting epidemic clones with intra- and interhospital spread. In conclusion, the broadly extended clonal spreading of CTX-M-type P. mirabilis was first discovered at the district hospitals in Taiwan.",L T Wu and H J Wu and J G Chung and Y C Chuang and K C Cheng and W L Yu,"0732-8893 (Print)
0732-8893",Diagn Microbiol Infect Dis,"Bacterial Proteins/analysis/genetics,Biomarkers,Electrophoresis, Gel, Pulsed-Field,Genome, Bacterial,Genotype,Hospitals, District,Humans,Lactams/pharmacology,Molecular Epidemiology,Polymorphism, Restriction Fragment Length,Proteus Infections/*epidemiology/*microbiology,Proteus mirabilis/drug effects/*enzymology/isolati,Respiratory Tract Infections/epidemiology/microbio,Taiwan,Urinary Tract Infections/epidemiology/microbiology,beta-Lactam Resistance/*genetics,beta-Lactamases/analysis/*genetics",89--94,{Dissemination of Proteus mirabilis isolates harboring CTX-M-14 and CTX-M-3 beta-lactamases at 2 hospitals in Taiwan},NA,54,2006,2,"Wu, Lii-Tzu
Wu, Hwa-Jen
Chung, Jing-Gung
Chuang, Yin-Ching
Cheng, Kuo-Chen
Yu, Wen-Liang
Journal Article
Research Support, Non-U.S. Gov't
United States
Diagn Microbiol Infect Dis. 2006 Feb;54(2):89-94. Epub 2006 Jan 9.",10.1016/j.diagmicrobio.2005.09.005,1/13/06,eng,16406185,MAYBE,Erica,NO,Mushtaq,Allison,Mushtaq,Downloaded,,
20998,YES,Toth2008,Article,NA,Á Tóth and G Y Kispál and E Ungvári and M Violka and Z Szeberin and J Pászti and K Molnár and M Gacs and M Füzi and A Toth and G Kispal and E Ungvari and M Violka and Z Szeberin and J Paszti and K Molnar and M Gacs and M Fuzi,1120-009x,Journal of Chemotherapy,",*Drug Resistance,Anti-Bacterial Agents/*therapeutic use,C reactive protein,Cardiac Surgical Procedures/adverse effects,Catheter-Related Infections/drug therapy/microbiol,Enterobacter cloacae,Fatal Outcome,Humans,Hungary,Male,Methicillin-Resistant Staphylococcus aureus/drug e,Microbial Sensitivity Tests,Middle Aged,Neoplasm,Pneumonia,Postoperative Complications/drug therapy/microbiol,Staphylococcal/drug therapy/*microbiolo,Staphylococcus infection,Vancomycin/*therapeutic use,adult,amikacin,amoxicillin plus clavulanic acid,antibiotic resistance,antibiotic therapy,aorta dissection,aorta surgery,autopsy,bacterium culture,bacterium identification,beta lactam antibiotic,case report,cefuroxime,ciprofloxacin,clindamycin,computer assisted tomography,dalfopristin plus quinupristin,daptomycin,drug efficacy,drug substitution,drug treatment failure,drug withdrawal,erythromycin,fatality,fever,gentamicin,hearing test,human,letter,linezolid,male,methicillin resistant Staphylococcus aureus,meticillin,minimum inhibitory concentration,nonhuman,oxacillin,pneumonia,postoperative infection,purification,rifampicin,tigecycline,vancomycin",655--656,{First report of heterogeneously vancomycin-intermediate Staphylococcus aureus (hVISA) causing fatal infection in Hungary},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L352761016 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=1120009X{\&}id=doi:{\&}atitle=First+report+of+heterogeneously+vancomycin-intermediate+Staphylococcus+aureus+{\%}28hVIS,20,2008,5,"From Duplicate 1 (First report of heterogeneously vancomycin-intermediate Staphylococcus aureus (hVISA) causing fatal infection in Hungary - Toth, A; Kispal, G; Ungvari, E; Violka, M; Szeberin, Z; Paszti, J; Molnar, K; Gacs, M; Fuzi, M)
1973-9478
Toth, A
Kispal, Gy
Ungvari, E
Violka, M
Szeberin, Z
Paszti, J
Molnar, K
Gacs, M
Fuzi, M
Case Reports
Letter
England
J Chemother. 2008 Oct;20(5):655-6.",10.1179/joc.2008.20.5.655,11/26/08,eng,19028632,MAYBE,Jake,YES,Erica,Erica,Mushtaq,no,no access,
14740,MAYBE,Nagano2013,Article,NA,N Nagano and Y Endoh and Y Nagano and M Toyama and M Matsui and K Shibayama and Y Arakawa,"1344-6304
1884-2836",Jpn J Infect Dis,",Anti-Infective Agents/pharmacology,Asia,Bacterial,Bacterial Proteins/genetics/*metabolism,Drug Resistance,Escherichia coli,Escherichia coli Infections/complications/*microbi,Escherichia coli infection,Escherichia coli/*enzymology/isolation {\&} purificat,Feces/microbiology,Humans,Japan,Klebsiella Infections/complications/*microbiology,Klebsiella pneumoniae,Klebsiella pneumoniae infection,Klebsiella pneumoniae/*enzymology/isolation {\&} puri,Male,Microbial Sensitivity Tests,Middle Aged,Multiple,Southeast Asia,Southeastern,Sputum/microbiology,adult,amikacin,amoxicillin plus clavulanic acid,ampicillin,antibiotic resistance,article,aztreonam,bacterial gene,bacterium culture,bacterium isolate,beta-Lactamases/genetics/*metabolism,carbapenemase,case report,cefaclor,cefazolin,cefepime,cefmetazole,cefoperazone plus sulbactam,cefotaxime,cefotetan,cefotiam,cefoxitin,cefozopran,cefpirome,cefpodoxime,ceftazidime,clavulanic acid,enzyme synthesis,flomoxef,gentamicin,human,imipenem,levofloxacin,male,meropenem,migration,minimum inhibitory concentration,minocycline,multidrug resistance,nonhuman,piperacillin,piperacillin plus tazobactam,polymerase chain reaction,protein OXA 48,tobramycin,unclassified drug,unindexed drug",79--81,{First report of oxa-48 carbapenemase-producing klebsiella pneumoniae and escherichia coli in japan from a patient returned from Southeast Asia},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L368489862 http://dx.doi.org/10.7883/yoken.66.79 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=13446304{\&}id=doi:10.7883{\%}2Fyoken.66.79{\&}atitle=First+report+of+oxa-48+car,66,2013,1,"From Duplicate 2 (First report of OXA-48 carbapenemase-producing Klebsiella pneumoniae and Escherichia coli in Japan from a patient returned from Southeast Asia - Nagano, N; Endoh, Y; Nagano, Y; Toyama, M; Matsui, M; Shibayama, K; Arakawa, Y)
1884-2836
Nagano, Noriyuki
Endoh, Yasunobu
Nagano, Yukiko
Toyama, Masami
Matsui, Mari
Shibayama, Keigo
Arakawa, Yoshichika
Case Reports
Journal Article
Japan
Jpn J Infect Dis. 2013;66(1):79-81.",NA,2/23/13,eng,23429093,YES,Cale,MAYBE,Mushtaq,Mushtaq,Mushtaq,Downloaded,,
14121,YES,Mlynarczyk-Bonikowska2014,Article,"INTRODUCTION: Azithromycin is one of the most commonly used macrolide antibiotics. As other macrolides it inhibits bacterial proteins synthesis by binding with V domene of bacterial 23S rRNA. Resistance to azithromycin can be related to: 1. Mutations in gene encoding 23S rRNA. Significant effect on azithromycin MIC (minimal inhibitory concentration) is not observed when the mutation occurs only in 1 allele. In case of mutations occurring in 4 alleles, more common mutation C2611T is associated with MIC 2-16 mg/L and the second mutation A2059T results in high level resistance to azithromycin MIC {\textgreater} 256 mg/l 2. Over- production of membrane pumps proteins MtrCDE and MacAB, that remove antibiotics from bacterial cells. The mechanism is not able to cause azithromycin resistance itself but coexisting with other mechanisms of resistance can additionally increase MIC. 3. Synthesis of 23S rRNA methylases ErmB, ErmF, ErmC, ErmA. These enzymes cause demethylation of adenine (A2058) in V domain of 23S rRNA. The mechanism was common in the past, but it has been replaced by mutations in in V domain of 23S rRNA. Nowadays 23S rRNA methylases are very rare in N. gonorhoeae. METHODS: Sixty five Neisseria gonorrhoeae strains isolated from patients of the Department of Dermatology and Venereology in Warsaw in the second half of 2012 and first of 2013 were investigated. The strains were cultured on chocolate agar plates in a 5{\%} CO2 atmosphere at 37 degrees C and identified by colony morphology, Gram staining and oxidase reaction, followed by carbohydrate utilization test. Azithromycin susceptibility was determined by E-Tests (bioMerieux). Bacteria were incubated at 37 degrees C in 5{\%} CO2 for 24 h on chocolate agar plates. Tests were performed according to producers recommendations. The results (sensitive or resistant) were interpreted according to EUCAST recommendations. RESULTS: The MIC of azithromycin in investigated strains ranged from 0,064 to 4 mg/L, MIC50 = 0.5 mg/L, MIC90 = 2 mg/L. It was shown that only 38.5{\%} of the strains were sensitive to azithromycin according to EUCAST criteria from 2014 year and 89.3{\%} of the strains were sensitive to azithromycin according to CDC criteria from 2014 year. CONCLUSIONS: The percentage of azithromycin resistant Neisseria gonorrhoeae strains is increasing in Poland and the antibiotic should not be used in monotherapy as gonorrhoea patients. It should only be used in combination with ceftriaxone or cefixime.",B Mlynarczyk-Bonikowska and M Kujawa and G Mlynarczyk and M Malejczyk and S Majewski,"0025-8601 (Print)
0025-8601",Med Dosw Mikrobiol,"*Drug Resistance, Bacterial/genetics,Anti-Bacterial Agents/pharmacology,Azithromycin/*pharmacology,Humans,Microbial Sensitivity Tests,Mutation,Neisseria gonorrhoeae/classification/*drug effects,Poland,RNA, Bacterial/genetics,RNA, Ribosomal, 23S/genetics,Species Specificity",209--214,{[Resistance to azithromycin of Neisseria gonorrhoeae strains isolated in Poland in 2012-2013 years]},NA,66,2014,4-Mar,"Mlynarczyk-Bonikowska, Beata
Kujawa, Marlena
Mlynarczyk, Grazyna
Malejczyk, Magdalena
Majewski, Slawomir
English Abstract
Journal Article
Poland
Med Dosw Mikrobiol. 2014;66(3-4):209-14.",NA,1/1/14,pol,25804074,YES,Erica,YES,Nchedo,Nchedo,Mushtaq,no,no access,
3095,YES,Carattoli2013,Article,"We describe the first isolation of an NDM-1-producing Pseudomonas aeruginosa in Italy. In May 2013, a patient with acute lymphoblastic leukaemia and history of prior hospitalisation in Belgrad, Serbia, underwent stem cell transplantation at a tertiary care hospital in Rome, Italy. After transplantion, sepsis by NDM-1-producing P. aeruginosa occurred, leading to septic shock and fatal outcome.",A Carattoli and D Fortini and R Galetti and A Garcia-Fernandez and G Nardi and D Orazi and A Capone and I Majolino and A Proia and B Mariani and G Parisi and A Morrone and N Petrosillo,1025-496x,Eurosurveillance,",Adult,Anti-Bacterial Agents/pharmacology,Bacterial,DNA,DNA sequence,Drug Resistance,Electrophoresis,Enterococcus faecium,Fatal Outcome,Gel,Humans,Italy,Klebsiella pneumoniae,Klebsiella pneumoniae infection,Male,Microbial Sensitivity Tests,Multiple,New delhi metallo beta lactamase 1,Postoperative Complications,Precursor Cell Lymphoblastic Leukemia-Lymphoma/*su,Pseudomonas Infections/diagnosis/drug therapy,Pseudomonas aeruginosa,Pseudomonas aeruginosa/genetics/*isolation {\&} purif,Pseudomonas infection,Pulsed-Field,Sequence Analysis,Serbia,Southern blotting,Stem Cell Transplantation/*adverse effects,adult,amikacin,antibiotic sensitivity,article,bacterial genetics,bacterium isolation,beta-Lactamases/*genetics,busulfan,case report,cefotaxime,ceftazidime,colistin,cyclophosphamide,cyclosporin,daptomycin,disease surveillance,drug substitution,ertapenem,extended spectrum beta lactamase,fever,fludarabine,graft versus host reaction,human,imipenem,infection control,lymphatic leukemia,male,meropenem,metallo beta lactamase,minimum inhibitory concentration,multidrug resistance,mycophenolic acid,neutropenia,nonhuman,perianal abscess,piperacillin plus tazobactam,polymerase chain reaction,rifampicin,septic shock,stem cell transplantation,thiotepa,throat culture,tigecycline,unclassified drug,vancomycin",NA,"{Isolation of NDM-1-producing Pseudomonas aeruginosa sequence type ST235 from a stem cell transplant patient in Italy, May 2013}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L370272090 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=1025496X{\&}id=doi:{\&}atitle=Isolation+of+NDM-1-producing+Pseudomonas+aeruginosa+sequence+type+ST235+from+a+stem+c,18,2013,46,"From Duplicate 1 (Isolation of NDM-1-producing Pseudomonas aeruginosa sequence type ST235 from a stem cell transplant patient in Italy, May 2013 - Carattoli, A; Fortini, D; Galetti, R; Garcia-Fernandez, A; Nardi, G; Orazi, D; Capone, A; Majolino, I; Proia, A; Mariani, B; Parisi, G; Morrone, A; Petrosillo, N)
1560-7917
Carattoli, A
Fortini, D
Galetti, R
Garcia-Fernandez, A
Nardi, G
Orazi, D
Capone, A
Majolino, I
Proia, A
Mariani, B
Parisi, G
Morrone, A
Petrosillo, N
Case Reports
Journal Article
Research Support, Non-U.S. Gov't
Sweden
Euro Surveill. 2013 Nov 14;18(46). pii: 20633.",NA,11/22/13,eng,24256888,YES,Cale,NO,Mushtaq,Ayomide,Mushtaq,Downloaded,,
15694,YES,Owusu-Dabo2006,Article,NA,E Owusu-Dabo and O Adjei and C G Meyer and R D Horstmann and A Enimil and T F Kruppa and F Bonsu and E N L Browne and M A Chinbuah and I Osei and J Gyapong and C Berberich and T Kubica and S Niemann and S Ruesch-Gerdes,"1080-6040
1080-6059",Emerging Infectious Diseases,"Ghana,Human immunodeficiency virus infected patient,Mycobacterium tuberculosis,antibiotic resistance,antibiotic sensitivity,bacterium culture,directly observed therapy,drug resistance,ethambutol,human,incidence,isoniazid,letter,lung tuberculosis,public health service,pyrazinamide,rifampicin,sputum smear,streptomycin,thioacetazone,thorax radiography,treatment outcome,tuberculostatic agent,university hospital",1170--1172,"{Mycobacterium tuberculosis drug resistance, Ghana [7]}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L44061301 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=10806040{\&}id=doi:{\&}atitle=Mycobacterium+tuberculosis+drug+resistance{\%}2C+Ghana+{\%}5B7{\%}5D{\&}stitle=Emerg.+Infect.+Dis.,12,2006,7,NA,NA,NA,NA,NA,YES,Allison,YES,Ayomide,Ayomide,Mushtaq,Downloaded,,
9126,YES,Humphries2015a,Article,"Ceftazidime-avibactam is the first antimicrobial approved by the U.S. FDA for the treatment of carbapenem-resistant Enterobacteriaceae. Avibactam, a non-$\beta$-lactam $\beta$-lactamase inhibitor, inactivates class A serine carbapenemases, including Klebsiella pneumoniae carbapenemase (KPC). We report a KPC-producing K. pneumoniae isolate resistant to ceftazidime-avibactam (MIC, 32/4 $\mu$g/ml) from a patient with no prior treatment with ceftazidime-avibactam.",R M Humphries and S Yang and P Hemarajata and K W Ward and J A Hindler and S A Miller and A Gregson,"1098-6596
0066-4804",Antimicrobial Agents and Chemotherapy,"Citrobacter freundii,Klebsiella pneumoniae,Klebsiella pneumoniae carbapenemase 3,adult,advanced cancer,altered mental status,amikacin,ampicillin,antibiotic resistance,article,ascites,avibactam plus ceftazidime,aztreonam,bacterial enzyme,bacterial gene,bacterium isolate,bla gene,carbapenem derivative,carbapenem resistant Enterobacteriaceae,case report,cefepime,cephalosporin derivative,chloramphenicol,cholangitic abscess,ciprofloxacin,colistin,computer assisted tomography,continuous renal replacement therapy,cotrimoxazole,doxycycline,drug substitution,drug withdrawal,female,gentamicin,human,inflammatory ascites,kidney injury,liver abscess,loading drug dose,mental disease,meropenem,middle aged,minocycline,pancreas cancer,pancreaticoduodenectomy,piperacillin plus tazobactam,polymyxin B,priority journal,respiratory failure,splenic vein thrombosis,sultamicillin,tigecycline,tobramycin,unclassified drug,vancomycin,vein thrombosis",6605--6607,{First report of ceftazidime-avibactam resistance in a KPC-3-expressing Klebsiella pneumoniae isolate},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L606194325 http://dx.doi.org/10.1128/AAC.01165-15 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=10986596{\&}id=doi:10.1128{\%}2FAAC.01165-15{\&}atitle=First+report+of+ceftazid,59,2015,10,NA,NA,NA,NA,NA,YES,Brooke,YES,Zach,Zach,Mushtaq,Downloaded,,
11557,MAYBE,Lascols2008,Article,"The plasmid-borne quinolone resistance gene qnrA1 is prevalent in multidrug-resistant Enterobacteriaceae. A chromosomally encoded homologue in Shewanella algae, qnrA3, has been described. We isolated two qnrA3-positive strains, one of Klebsiella pneumoniae (He96) and one of Kluyvera ascorbata (Kas96), from the feces of an immunocompromised outpatient. The qnrA3 allele was identical to that of S. algae except for 5 nucleotides and differed from qnrA1 by 29 nucleotides affecting three amino acids. The analysis of the qnrA3 genetic environment showed that qnrA3 was inserted downstream from an ISCR1 element at a recombination crossover site described for other resistance genes, including qnrA1, and immediately upstream from IS26, a situation not described before. IS26 preceded an incomplete class 1 integron which contained, among other genes, aac(6')-Ib-cr, another transferable quinolone resistance gene, and the beta-lactamase gene bla(OXA-1/30). The 10-kb fragment encompassing qnrA3 was compared to previously described qnrA1-containing plasmids and multidrug-resistant plasmids; it shares identical sequences with pC15a, pHSH2, pQR1, pQKp311H, and pSAL-1 but with rearrangements, deletions, and mutations. Conjugal transfer of qnrA3 was highly efficient (10(-2)) from K. pneumoniae He96 or K. ascorbata Kas96 to Escherichia coli J53 but less so (10(-5)) from either donor to a clinical strain of Enterobacter cloacae. This first description of a plasmid-borne copy and of the in vitro transfer of qnrA3 is taken to illustrate its likely in vivo transfer from S. algae to the Enterobacteriaceae.",C Lascols and I Podglajen and C Verdet and V Gautier and L Gutmann and C J Soussy and E Collatz and E Cambau,0021-9193,J Bacteriol,"*Gene Transfer, Horizontal,*Plasmids,Acetyltransferases/genetics,Anti-Bacterial Agents/pharmacology,Bacterial Proteins/genetics,Base Sequence,Conjugation, Genetic,DNA Transposable Elements,DNA, Bacterial/chemistry/genetics,Drug Resistance, Bacterial/*genetics,Enterobacter cloacae/genetics,Enterobacteriaceae Infections/microbiology,Escherichia coli/genetics,Feces/microbiology,Gene Order,Humans,Integrons,Klebsiella pneumoniae/*genetics/isolation {\&} purifi,Kluyvera/*genetics/isolation {\&} purification,Microbial Sensitivity Tests,Middle Aged,Molecular Sequence Data,Sequence Analysis, DNA,Sequence Homology, Nucleic Acid,Shewanella/*genetics,beta-Lactamases/genetics",5217--5223,"{A plasmid-borne Shewanella algae Gene, qnrA3, and its possible transfer in vivo between Kluyvera ascorbata and Klebsiella pneumoniae}",NA,190,2008,15,"1098-5530
Lascols, Christine
Podglajen, Isabelle
Verdet, Charlotte
Gautier, Valerie
Gutmann, Laurent
Soussy, Claude-James
Collatz, Ekkehard
Cambau, Emmanuelle
Case Reports
Journal Article
Research Support, Non-U.S. Gov't
United States
J Bacteriol. 2008 Aug;190(15):5217-23. doi: 10.1128/JB.00243-08. Epub 2008 May 30.",10.1128/jb.00243-08,6/3/08,eng,18515416,MAYBE,Brooke,NO,Cale,Allison,Mushtaq,Downloaded,,
5258,MAYBE,Dimopoulos2012,Article,"Introduction: Hospital acquired bloodstream infections (HA-BSI) are an important complication of critical illness and emergence of anti-microbial resistance, particularly in some countries like Greece, has been of increasing concern. Hypothesis: Resistant microorganisms predominate in HA-BSIs in Greek ICUs. Methods: Secondary analysis of data collected during EUROBACT study, a large prospective, observational, multicenter study conducted in 162 ICUs of 24 countries worldwide. First episodes of HA-BSI acquired in the ICU or within 48 hours prior to ICU admission were recorded. Results: Twenty nine Greek ICUs contributed 288 episodes of HA-BSIs. Mean age (SD) was 59.5 (17.9) years; mean (SD) SAPS II was 48.1 (14.1) at ICU admission, and SOFA 8.3 (3.8) at HA-BSI onset. The commonest pathogens were Acinetobacter sp (84/329 isolates; 25.5{\%}), Klebsiella sp (23.4{\%}), Pseudomonas sp (12.2{\%}), and Enterococcus sp (7{\%}); 37 (12.8{\%}) episodes were polymicrobial. Among monomicrobial cases (n=251), 184 (73.3{\%}) were Gram-negative (GNB), 46 (18.3{\%}) Gram-positive (GPC), 19 (7.6{\%}) fungal, and 2 (0.8{\%}) anaerobes. Overall, 241 (73.3{\%}) isolates were classified as multidrug resistant (MDR), 155 (47.1{\%}) extensively resistant (XDR), 4 (1.2{\%}) as pan-drug resistant (PDR); 59.5{\%} GNB and 13{\%} enterococci were resistant to carbapenems and glycopeptides, respectively. Carbapenems were the most frequently empirically prescribed antibiotics, while colistin was the most frequently adequate. Overall 28-day all cause mortality was 33.3{\%} (G 33.7{\%}, GPC30.4{\%}, fungi61.9{\%}, polymicrobial18.9{\%}). In the multivariate analysis, factors adversely affecting outcome were higher SOFA at HA-BSI onset ([per point] OR1.188; 95{\%}CI 1.08-1.31, p=0.0006), need for renal support (OR2.75; 95{\%}CI 1.35-5.59, p=0.0053), and for vasopressors/inotropes (OR2.68; CI 1.18-6.12, p=0.02), whereas adequate empiric treatment had a protective effect (OR 0.48; CI 0.24-0.95, p= 0.03). Conclusions: XDR and PDR bacteria were predominant in the largest cohort till now of HA-BSIs in Greek ICUs. Reaching the lifesaving objective of prompt administration of adequate empirical treatment may no longer be achievable in a substantial proportion of patients if new therapeutic options aren't available soon.",G Dimopoulos and D Koulenti and A Tabah and K Arvaniti and G Poulakou and D Matthaiou and A Armaganidis and J F Timsit,0090-3493,Critical Care Medicine,"Acinetobacter,Enterococcus,Greece,Klebsiella,Pseudomonas,Simplified Acute Physiology Score,anaerobe,antibiotic agent,bacterium,bloodstream infection,carbapenem derivative,colistin,critical illness,glycopeptide,hospital,human,hypothesis,intensive care,microorganism,mortality,multicenter study,multivariate analysis,pathogenesis,patient,renal replacement therapy,secondary analysis,society",120--121,{Hospital-acquired bloodstream infections in greek ICUs: Results from the EUROBACT study},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L71065633 http://dx.doi.org/10.1097/01.ccm.0000425605.04623.4b http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=00903493{\&}id=doi:10.1097{\%}2F01.ccm.0000425605.04623.4b{\&}atit,40,2012,12,NA,NA,NA,NA,NA,MAYBE,Cale,NO,Erica,Ayomide,Mushtaq,no,no access,
18778,MAYBE,Sekhon2012,Article,"We report a case of acute suppurative parotitis in a 16-day old infant presenting to an Emergency Department. Only 32 cases have been reported in English literature in the last 35 years. This is the first documented case in the United Kingdom. Clinical diagnosis was made on the basis of parotid swelling with purulent discharge from Stensen's duct. Samples sent for culture grew methicillin-resistant Staphylococcus aureus. The aetiology, pathogenesis and management of this infection are discussed. {\textcopyright} 2012 Elsevier Ireland Ltd. All rights reserved.",P Sekhon and D Williams and J D {Singh Sara} and N A McCulloch,1871-4048,International Journal of Pediatric Otorhinolaryngology Extra,"United Kingdom,amoxicillin,amoxicillin plus clavulanic acid,antibiotic resistance,bacterium culture,case report,cefotaxime,clinical feature,human,methicillin resistant Staphylococcus aureus,metronidazole,newborn,parotitis,pathogenesis,review",132--133,{Acute bacterial suppurative parotitis of the neonate: A case report and review},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L52063604 http://dx.doi.org/10.1016/j.pedex.2012.05.002 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=18714048{\&}id=doi:10.1016{\%}2Fj.pedex.2012.05.002{\&}atitle=Acute+bacte,7,2012,3,NA,NA,NA,NA,NA,MAYBE,Cale,NO,Ayomide,Mushtaq,Mushtaq,Downloaded,,
