STUDY_ID,INCLUDE,X1,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,ROUND1INC,ROUND1REV,ROUND2INC,ROUND2REV,REVIEWERS,FT_REV,DOWNLOADED
,,,,,,,,,,,,,,,,,,,,,,,,,,
13743,YES,Mendes2010,Article,NA,R E Mendes and L Deshpande and E Rodriguez-Noriega and J E Ross and R N Jones and R Morfin-Otero,0095-1137,J Clin Microbiol,"*Drug Resistance, Multiple, Bacterial,Acetamides/*pharmacology,Adult,Anti-Bacterial Agents/*pharmacology,Bacterial Proteins/genetics,Female,Humans,Linezolid,Male,Mexico,Microbial Sensitivity Tests,Middle Aged,Oxazolidinones/*pharmacology,RNA, Bacterial/genetics,RNA, Ribosomal, 23S/genetics,Staphylococcal Infections/*microbiology,Staphylococcus/*drug effects/genetics/isolation {\&}",3041--3043,{First report of Staphylococcal clinical isolates in Mexico with linezolid resistance caused by cfr: evidence of in vivo cfr mobilization},NA,48,2010,8,"1098-660xMendes, Rodrigo EDeshpande, LalitagauriRodriguez-Noriega, EduardoRoss, James EJones, Ronald NMorfin-Otero, RayoCase ReportsLetterUnited StatesJ Clin Microbiol. 2010 Aug;48(8):3041-3. doi: 10.1128/JCM.00880-10. Epub 2010 Jun 2.",10.1128/jcm.00880-10,6/4/10,eng,20519471,YES,Allison,YES,Nchedo,Nchedo,Mushtaq,yes
,,,,,,,,,,,,,,,,,,,,,,,,,,
14397,MAYBE,Moriguchi2007,Article,"A first resistant strain of Enterobacter cloacae was isolated from a blood specimen in a pediatric patient with immature teratoma-developed sepsis after combination chemotherapy. The strain produced extended-spectrum $\beta$-lactamase (ESBL), and the same ESBL-producing strains were detected in urine samples from other patients in the pediatric ward. All strains harbored genes for bla CTX-M-3 by polymerase chain reaction (PCR) and sequencing analysis. Analysis of pulsed-field gel electrophoresis revealed that all strains were the same clonal type. These results suggest that ESBL-producing strains might be transmitted in the ward via contact among patients or medical staff. {\textcopyright} 2007 Japanese Society of Chemotherapy and The Japanese Association for Infectious Diseases.",N Moriguchi and Y Itahashi and N Tabata and T Yamazumi and I Furuta and N Shibata and Y Arakawa and H Miyata,1341-321X,Journal of Infection and Chemotherapy,"Enterobacter cloacae,adult,antibiotic agent,article,bacterium culture,bacterium isolate,beta lactamase,case report,cefozoplan,clinical feature,etoposide,gel electrophoresis,gene sequence,hospital infection,human,male,minimum inhibitory concentration,minocycline,panipenem plus betamipron,polymerase chain reaction,preschool child,school child,sepsis,unclassified drug,urinalysis,zidovudine",263--266,{Outbreak of CTX-M-3-type extended-spectrum $\beta$-lactamase-producing Enterobacter cloacae in a pediatric ward},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L47313118 http://dx.doi.org/10.1007/s10156-007-0526-7 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=1341321X{\&}id=doi:10.1007{\%}2Fs10156-007-0526-7{\&}atitle=Outbreak+of+CTX,13,2007,4,NA,NA,NA,NA,NA,YES,Cale,MAYBE,Zach,Zach,Mushtaq,yes
,,,,,,,,,,,,,,,,,,,,,,,,,,
7189,MAYBE,Gerogianni2006,Article,"We describe a case of necrotizing pneumonia in Greece caused by a community-acquired methicillin-resistant Staphylococcus aureus (MRSA) producing Panton-Valentine leukocidin (PVL) carrying the staphylococcal chromosome cassette mec (SCCmec) type V. The pulse field gel electrophoresis (PFGE) pattern of this strain differed significantly from the PVL-positive multi-locus sequence typing (MLST)-80 clone of MRSA, which predominates in Greece and in Europe. Further analysis of this strain revealed that it belonged to the agr1 allele type, and its resistance to tobramycin, gentamicin, and kanamycin was associated to the presence of aac-(6‰Û_)-Ie+aph(2‰Û_) gene. This is the 1st report that documents the emergence of CA-MRSA with PVL genes in combination with the SCCmec type V in Europe. {\textcopyright} 2006 Elsevier Inc. All rights reserved.",I Gerogianni and G Mpatavanis and K Gourgoulianis and A Maniatis and I Spiliopoulou and E Petinaki,0732-8893,Diagnostic Microbiology and Infectious Disease,"Greece,adult,allele,amoxicillin,antibiotic resistance,article,azithromycin,bacterial chromosome,bacterial gene,bacterial infection,bacterial protein,bacterial strain,bacterium identification,blood culture,case report,ciprofloxacin,clindamycin,communicable disease,community acquired pneumonia,gentamicin,human,kanamycin,male,methicillin resistant Staphylococcus aureus,meticillin,priority journal,pulsed field gel electrophoresis,sultamicillin,teicoplanin,tobramycin",213--216,{Combination of staphylococcal chromosome cassette SCCmec type V and Panton-Valentine leukocidin genes in a methicillin-resistant Staphylococcus aureus that caused necrotizing pneumonia in Greece},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L44486636 http://dx.doi.org/10.1016/j.diagmicrobio.2006.06.005 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=07328893{\&}id=doi:10.1016{\%}2Fj.diagmicrobio.2006.06.005{\&}atit,56,2006,2,NA,NA,NA,NA,NA,MAYBE,Brooke,NO,Ayomide,Mushtaq,Mushtaq,yes
,,,,,,,,,,,,,,,,,,,,,,,,,,
3518,MAYBE,Chatterjee2016,Article,"Background: Acinetobacter species are a heterogeneous group of organisms that have emerged as significant nosocomial pathogens affecting patients with impaired host defenses. Newborns, particularly are very prone to hospital acquired infections. Till date, A. baumannii has been predominantly implicated in neonatal sepsis but ‰ÛÏother species‰Ûù within the genus have been reported rarely. The persistence of endemic Acinetobacter strains in hospitals seems to be related to their widespread resistance to antimicrobial agents. Since carbapenems are last resort antibiotics, this study evaluated the dissemination of carbapenem-resistant genes in cases of neonatal septicemia. Methods {\&} Materials: Acinetobacter spp. from blood of septicemic neonates was identified by ARDRA and susceptibility tests were carried out by VITEK 2 system. Extended-spectrum $\beta$- lactamases, AmpCs, oxacillinases and metallo-$\beta$-lactamases were detected phenotypically and genotypically and were subsequently sequenced. Pulso-typing and plasmid characterization were also carried out. Results: A. baumannii was found to be predominant genospecies (72{\%}) followed by A. calcoaceticus, A. lwoffii, 13TU, A. junni, 15TU, A. haemolyticus and 14TU over the 7 years period. Fifty four percent of the total isolates were meropenem-resistant. Comparative analysis of susceptibility tests revealed that carbapenem resistance (meropenem, imipenem) and aminoglycoside resistance (amikacin, gentamicin) was significantly lower in other species of Acinetobacter against ACB (A. calcoaceticus-baumannii) complex. The most prevalent oxacillinases were OXA-51-like (74{\%}), OXA-23-like (50{\%}) and OXA-58-like (15{\%}). New Delhi metallo- $\beta$-lactamase-1 was the dominant MBL (22{\%}). NDM-1-harbouring isolates also possessed blaVIM-2, blaPER-1, blaVEB-2, blaCTX-M-15, armA, aac(6')Ib, aac(6')Ib-cr gene in various combinations. These isolates were clonally diverse (Figure 1) and harboured plasmids of different sizes. Conclusion: This study documents the emergence of Acinetobacter spp. in the nosocomial environment and also the significance of different genospecies of Acinetobacter causing neonatal sepsis over an extended period of time. A unique assessment of the diverse genetic determinants for carbapenem resistance was noted. The emergence of NDM-1 among an already existing repertoire of oxacillinases is a challenge for clinicians and microbiologists alike. As new resistance mechanisms constantly evolve both laboratory detection systems and infection control measures need to be enhanced. (Figure Presented).",S Chatterjee and S Datta and S Basu,1201-9712,International Journal of Infectious Diseases,"Acinetobacter,amikacin,aminoglycoside,amplified ribosomal DNA restriction analysis,antibiotic agent,antiinfective agent,blood,carbapenem,carbapenem derivative,environment,gene,gentamicin,genus,hospital,hospital infection,host resistance,human,imipenem,infection,infection control,laboratory,meropenem,microbiology,newborn,newborn sepsis,pathogenesis,patient,penicillinase,plasmid,species",320--321,{Carbapenem-resistant acinetobacter species: An emerging nosocomial superbug},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L72245650 http://dx.doi.org/10.1016/j.ijid.2016.02.697 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=12019712{\&}id=doi:10.1016{\%}2Fj.ijid.2016.02.697{\&}atitle=Carbapenem-re,45,2016,NA,NA,NA,NA,NA,NA,YES,Allison,NO,Erica,Ayomide,Mushtaq,yes
,,,,,,,,,,,,,,,,,,,,,,,,,,
7761,YES,Grisold2011,Article,"Objectives: Extended-spectrum $\beta$-lactamase-producing (ESBL) Enterobacteriaceae have emerged as major public health problem throughout the world, in particular India and Pakistan. We report the emergence of the newly described resistance mechanism conferred by New Delhi metallo-$\beta$-lactamase 1 (NDM-1) in Austria. NDM-1 positive Enterobacteriaceae (2x Klebsiella pneumoniae and 1x E. coli) has been detected in three patients at the University Hospital of Graz, Austria, with all three cases occurring within the last 6 months. Methods: NDM-1 shares very little identity with other metallob- lactamase (MBL) enzymes and Enterobacteriaceae with NDM-1 show high resistance to nearly all commonly used antibiotics. Primers for PCR detection of NDM-1 were designed based on GenBank (National Center for Biotechnology Information, National Institutes of Health, Bethesda, MD) database entry AB571289.1 (http://www.ncbi.nlm.nih.gov/nuccore/300422615). Results: NDM-1 was detected in isolates of three patients, in two cases in K. pneumoniae, and one patient with NDM-1 positive E. coli. All threecases occurred between December 2009 and August 2010. Patient one (NDM-1 K. pneumoniae), a 30-year-old Austrian male was admitted to our University Hospital in November 2009. History revealed that he had suffered multiple open fractures of his upper and lower left leg and rectal laceration due to a motorcycle accident in Pakistan. In patient two the NDM-1 K. pneumoniae was detected in August 2010, the patient being a 14-year-old Kosovarian boy transferred from Kosovo to the Department of Pediatrics, University Hospital Graz, with multiple intraabdominal abscess formations and peritonitis. He had undergone appendectomy in Pristina, Kosovo, in April 2010 and had developed abdominal sepsis consecutively. Patient number three (NDM-1 E. coli), a 56 year old male developed a necrotizing fasciitis when being in India in January 2010, after a short admittance at a hospital in New Delhi the patient was transferred to Austria. Conclusion: Gram-negative Enterobacteriaceae with the newly described resistance enzyme NDM-1 have been recently shown to pose the potential of growing to a major public health problem worldwide. We report the emergence of NDM-1 among Enterobacteriaceae in Austria. During December 2009 and August 2010 two patients with K. pneumoniae carrying NDM-1 and one patient with NDM-1 E. coli were identified at the Medical University of Graz, Austria.",A J Grisold and G Zarfel and M HÌ_nigl and T Valentin and H J Salzer and E Leitner and R Krause,1198-743X,Clinical Microbiology and Infection,"Austria,Enterobacteriaceae,Escherichia coli,GenBank,India,Klebsiella pneumoniae,Pakistan,abdominal abscess,antibiotic agent,appendectomy,biotechnology,boy,data base,enzyme,hospital,hospital patient,human,identity,laceration,leg,male,national health organization,necrotizing fasciitis,open fracture,patient,pediatrics,penicillinase,peritonitis,public health problem,sepsis,traffic accident,university,university hospital",S137--S138,{Emergence of New Delhi metallo-$\beta$-lactamase (NDM-1)- Producing Enterobacteriaceae in Austria},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L70599317 http://dx.doi.org/10.1111/j.1469-0691.2011.03558.x http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=1198743X{\&}id=doi:10.1111{\%}2Fj.1469-0691.2011.03558.x{\&}atitle=E,17,2011,NA,NA,NA,NA,NA,NA,YES,Brooke,YES,Nchedo,Nchedo,Mushtaq,yes
