STUDY_ID,INCLUDE,url,title,ROUND1INC,ROUND2INC,DOWNLOADED
1912302,yes,www.promedmail.org/post/1912302,"Bacterioides fragilis - USA: (WA) ex India susp, multidrug resistance",yes,no,yes
1184441,yes,www.promedmail.org/post/1184441,"Acinetobacter - Chile: (Santiago) burn unit, drug-resistant",yes,no,yes
518822,yes,www.promedmail.org/post/518822,"Acinetobacter, resistant, fatal - Japan: (Tokyo) RFI",yes,yes,yes
2442194,yes,www.promedmail.org/post/2442194,Antibiotic resistance - worldwide: WHO,no,yes,yes
2197723,yes,www.promedmail.org/post/2197723,Antibiotic resistance &amp; agricultural uses - USA,yes,yes,yes
2193462,yes,www.promedmail.org/post/2193462,"Antibiotic resistance, Neisseria gonorrheae - USA(02)",yes,yes,yes
927831,yes,www.promedmail.org/post/927831,"Antibiotic resistance, Neisseria gonorrhoeae - Austria: cefixime",yes,yes,yes
1175801,yes,www.promedmail.org/post/1175801,"Antibiotic resistance, Neisseria gonorrhoeae - Slovenia: (Ljubljana)",yes,no,yes
2008610,yes,www.promedmail.org/post/2008610,Antimicrobial resistance - Netherlands ex Egypt: family,yes,yes,yes
2044022,yes,www.promedmail.org/post/2044022,"Campylobacteriosis - USA (12): 2012, uncooked chicken livers",yes,no,yes
1911344,yes,www.promedmail.org/post/1911344,"Cholera, diarrhea &amp; dysentery update (40):Italy ex Cuba, Dominican Rep",yes,yes,yes
10285,yes,www.promedmail.org/post/10285,"Cholera, diarrhea &amp; dysentery update 2007 (20)",yes,yes,yes
10286,yes,www.promedmail.org/post/10286,"Cholera, diarrhea &amp; dysentery update 2007 (20) (Shigellosis, Missouri)",no,yes,yes
337807,yes,www.promedmail.org/post/337807,"Cholera, diarrhea &amp; dysentery update 2009 (30)",no,yes,yes
133986,yes,www.promedmail.org/post/133986,Clostridium difficile - Germany,yes,yes,yes
1445682,yes,www.promedmail.org/post/1445682,"Clostridium difficile - worldwide: fluoroquinolone resistance, 027",yes,yes,yes
2206684,yes,www.promedmail.org/post/2206684,"Clostridium difficile, increased virulence - USA",yes,yes,yes
731675,yes,www.promedmail.org/post/731675,"E. coli O104 - EU (02): (Germany, EU ex Germany) alert",yes,no,yes
740427,yes,www.promedmail.org/post/740427,"E. coli O104 - EU (08) &amp; USA: genetic analysis, more cases",no,yes,yes
742808,yes,www.promedmail.org/post/742808,E. coli O104 - EU (10): USA commentary,yes,no,yes
482787,yes,www.promedmail.org/post/482787,E. coli ST131 - USA: emerging drug-resistant pathogen worldwide,yes,no,yes
2653134,yes,www.promedmail.org/post/2653134,"Gonococcal disease - Sweden: pharynx, treatment failure, 2013-2014",no,yes,yes
2201762,yes,www.promedmail.org/post/2201762,"Gonorrhea, multidrug resistant - USA (CA, HI)",yes,yes,yes
2201876,yes,www.promedmail.org/post/2201876,"Gram negative bacilli, ESBL - UK (Scotland)",yes,yes,yes
