"study_id","segment","code_identifiers"
"10020","amoxicillin+clavulanic acid","b"
"10083","amoxicillin-clavulanate","a"
"10209","ampicillin/clav","b"
"10209","ceftazidime/clav","d"
"10300","pipc","a"
"10300","cfpm","b"
"10300","azt","d"
"10300","gm","e"
"10300","tob","f"
"10300","amk","g"
"10323","amoxicillin/clavulanic acid","a"
"10323","all ß-lactam antibiotic",""
"10443","trimethoprim/sulfamethoxazole","g"
"10443","piperacillin/tazobactam","i"
"10443","cefoperazone/sulbactam","k"
"10443",": ceftazidime","m"
"10445","trimethoprim/sulfamethoxazole","k"
"10445","ampicillin/sulbactam","l"
"10445","piperacillin/tazobactam","m"
"10445","cefoperazone/sulbactam","o"
"10450","-lactam antibiotics",""
"11176","trimethoprim-sulphamethoxazole","h"
"11201","trimethoprim/ sulfamethoxazole","p"
"11201","piperacillin/ tazobactam","f"
"11201","ampicillin/ sulbactam","g"
"11395","tetracyclin","j"
"11508","trimethoprim/sulfamethoxazole","a"
"11797","moxicillin-clavulanic acid",""
"12065","piperacillin/tazobactam","o"
"12065","trimethoprim/sulfamethoxazole","q"
"12065","ampicillin/sulbactam","b"
"1216","amoxicillin-clavulanate","a"
"12344","evofloxacin",""
"12344","piperacillin-tazobactam",""
"12359","piperacillin-tazobactam","j"
"12359","ampicilin","a"
"1288","sulbactam-ampicillin","b"
"12905","trimethoprim–sulfamethoxazole","j"
"12905","piperacillin–tazobactam","e"
"13129","amoxicillin/clavulanic acid",""
"13223","piperacillin-tazobactam","a"
"13370","piperacillin-tazobactam","a"
"13376","piperacillin-tazobactam","e"
"13399","cefoxitin,",""
"13399","penicillin,",""
"13465","trimethoprim/sulfamethoxazole","g"
"13490","b-lactams",""
"13548","amoxicillin/clavulanic acid",""
"13548","piperacillin/tazobactam",""
"13548","sulphonamides",""
"13741","piperacillin-tazobactam","d"
"13741","carbapenemic antibiotics",""
"13772","ticarcillin/clavulanic acid","b"
"13772","piperacillin/tazobactam","b"
"13772","amoxicillin/clavulanic acid","a"
"13772","trimethoprim/sulphamethoxazole","a"
"13794","tobramicin","g"
"13794","piperacillin/tazobactam","a"
"14130","piperacillin-tazobactam","j"
"14287","amoxicillin plus clavulanic  acid",""
"14906","carbapenem",""
"1495","trimethoprim/sulfamethoxazole tmp/smx",""
"15256","trimethoprim–sulfamethoxazole",""
"15256","piperacillin/tazobactam",""
"15256","ampicillin/clavulanic acid",""
"15268","trimethoprim/ sulfamethoxazole","j"
"15268","ampicillin/ sulbactam","b"
"15268","piperacillin/ tazobactam","c"
"15378","amoxacillin/clavulanate","b"
"15475","amoxicillin/clavulanic acid",""
"15632","piperacillin/tazobactam","a"
"15632","doxicycline","j"
"16248","amoxicillin/clavulanic acid",""
"16248","piperacillin/tazobactam",""
"16248","ciprofl oxacin",""
"16248","trimethoprim/sulfamethoxazole",""
