"study_id","mex_name"
"18945","aw_1_1.mex"
"1151","bw_1_1.mex"
"4578","bw_1_1.mex"
"8948","bw_1_1.mex"
"10335","bw_1_1.mex"
"9885","kw_1_1.mex"
"23314","md_1_1.mex"
"3613","md_1_1.mex"
"20339","md_2_2.mex"
"580","md_2_1.mex"
"1198","md_2_1.mex"
"579","md_2_1.mex"
"261","md_2_1.mex"
"4471","md_2_1.mex"
"9340","md_2_1.mex"
"5804","md_3_1.mex"
"281","md_3_2.mex"
"3722","md_3_1.mex"
"15760","md_3_2.mex"
"7440","md_3_1.mex"
"18940","md_4_1.mex"
"16584","md_4_2.mex"
"21726","zm_2_2.mex"
"8619","zm_3_2.mex"
"16264","zm_3_4.mex"
"18833","zm_3_5.mex"
"1080","zm_4_1.mex"
"10703","zm_4_2.mex"
"11202","zm_4_2.mex"
"20639","zm_4_4.mex"
"2697","zm_5_1.mex"
"3651","zm_5_1.mex"
"3910","zm_5_1.mex"
"20401","zm_5_4.mex"
"2863","zm_6_1.mex"
"5362","zm_6_1.mex"
"20373","zm_6_4.mex"
