"study_id","mex_name"
10622,"aw_1_1.mex"
18945,"aw_1_1.mex"
661,"aw_1_1.mex"
927,"aw_1_1.mex"
3529,"aw_1_1.mex"
137,"aw_1_1.mex"
4578,"bw_1_1.mex"
10335,"bw_1_1.mex"
21192,"bw_1_1.mex"
7482,"kw_1_1.mex"
172,"kw_1_1.mex"
16438,"md_1_1.mex"
12395,"md_1_1.mex"
1216,"md_2_1.mex"
20339,"md_2_2.mex"
9628,"md_2_1.mex"
17068,"md_2_2.mex"
15902,"md_2_2.mex"
1360,"md_2_1.mex"
4471,"md_2_1.mex"
9340,"md_2_1.mex"
9669,"md_2_1.mex"
5804,"md_3_1.mex"
4776,"md_3_1.mex"
3722,"md_3_1.mex"
15760,"md_3_2.mex"
11508,"md_3_1.mex"
17998,"md_4_1.mex"
18940,"md_4_1.mex"
10246,"md_4_1.mex"
8711,"md_4_1.mex"
3471,"md_4_1.mex"
3374,"md_4_1.mex"
18469,"md_4_1.mex"
22121,"md_4_2.mex"
16584,"md_4_2.mex"
8982,"md_4_3.mex"
18437,"md_5_1.mex"
10323,"md_5_1.mex"
6737,"md_7_1.mex"
21726,"zm_2_2.mex"
8619,"zm_3_2.mex"
16264,"zm_3_4.mex"
18833,"zm_3_5.mex"
1080,"zm_4_1.mex"
10703,"zm_4_2.mex"
11202,"zm_4_2.mex"
20639,"zm_4_4.mex"
2697,"zm_5_1.mex"
3651,"zm_5_1.mex"
3910,"zm_5_1.mex"
20401,"zm_5_4.mex"
2863,"zm_6_1.mex"
5362,"zm_6_1.mex"
20373,"zm_6_4.mex"
